     Locus	       I_n	       I_a	ORCA[1-allele]	ORCA[2-allele]
mh17KK-076	 0.0650635	        NA	 0.0526848	 0.0617974
mh17KK-077	 0.0982293	        NA	 0.0679704	 0.0831667
mh17KK-105	 0.0700412	        NA	 0.0554506	 0.0666816
mh17KK-110	 0.0634335	        NA	 0.0557118	 0.0685668
mh17KK-272	  0.109913	        NA	  0.071219	 0.0917463
mh17KKCS-278	  0.325465	        NA	 0.0990924	  0.144912
mh17USC-17pA	  0.263033	        NA	 0.0882546	  0.115149
mh17USC-17qA	  0.060391	        NA	 0.0626506	  0.077312
mh17USC-17qB	  0.142197	        NA	 0.0692252	  0.089482
mh17USC-17qC	 0.0955928	        NA	 0.0623031	 0.0801218
mh17ZBF-001	  0.172713	        NA	 0.0795355	 0.0987167
mh17ZHA-001	  0.103275	        NA	 0.0640699	 0.0831245
 mh18AT-38	   0.14186	        NA	 0.0715765	 0.0936934
 mh18AT-39	  0.249512	        NA	 0.0898947	  0.121855
mh18CP-003	  0.106136	        NA	 0.0683024	 0.0827464
mh18CP-005	 0.0904135	        NA	 0.0698469	 0.0895452
mh18KK-285	  0.172094	        NA	   0.07585	  0.100755
mh18KK-293	  0.249512	        NA	 0.0898947	  0.121855
mh18PK-87558	  0.132474	        NA	 0.0719176	 0.0881507
mh18USC-18pA	  0.213046	        NA	 0.0836512	  0.111119
mh18USC-18qA	 0.0847378	        NA	  0.067523	 0.0802313
mh18USC-18qB	  0.144914	        NA	 0.0776263	  0.100767
mh18USC-18qC	  0.143589	        NA	 0.0784178	 0.0989046
mh18ZBF-001	  0.179634	        NA	 0.0779162	 0.0988887
mh18ZBF-002	  0.201935	        NA	 0.0844539	  0.118051
mh18ZHA-004	  0.194868	        NA	  0.074681	  0.100828
mh18ZHA-005	  0.116154	        NA	 0.0719408	  0.088778
 mh19AT-47	  0.129824	        NA	 0.0727579	 0.0909883
mh19CP-007	 0.0466178	        NA	 0.0595198	 0.0727395
mh19KK-056	 0.0772748	        NA	 0.0636284	 0.0779016
mh19KK-057	 0.0667121	        NA	 0.0626675	 0.0718677
mh19KK-299	  0.233468	        NA	 0.0944389	  0.128412
mh19KK-301	  0.267257	        NA	 0.0844965	  0.107217
 mh19NH-23	 0.0413571	        NA	 0.0609013	 0.0687238
mh19USC-19pA	 0.0869684	        NA	 0.0704576	 0.0890806
mh19USC-19pB	  0.164684	        NA	  0.075014	 0.0979697
mh19USC-19qA	  0.112652	        NA	 0.0741757	 0.0960634
mh19USC-19qB	   0.13675	        NA	 0.0697907	 0.0896249
mh19ZHA-006	   0.16813	        NA	 0.0816826	  0.104507
mh19ZHA-007	  0.155055	        NA	 0.0813109	  0.107602
mh19ZHA-009	  0.140457	        NA	 0.0758398	  0.103957
 mh20AT-40	  0.113815	        NA	 0.0659149	 0.0863948
mh20KK-016	  0.604143	        NA	  0.120645	  0.162388
mh20KK-035	  0.210421	        NA	 0.0835041	  0.103081
mh20KK-058	  0.125002	        NA	 0.0709264	 0.0848114
mh20KK-059	 0.0291224	        NA	 0.0521863	 0.0599954
mh20KK-307	  0.155327	        NA	 0.0724164	 0.0956823
mh20KKCS-058	  0.164249	        NA	 0.0758882	 0.0947248
mh20KKCS-306	  0.278916	        NA	 0.0991862	  0.136305
 mh20LV-04	  0.901873	        NA	  0.227355	  0.392468
 mh20NH-24	 0.0822967	        NA	 0.0602013	  0.070044
 mh20NH-25	  0.182742	        NA	 0.0699465	 0.0842552
 mh20NH-26	 0.0680098	        NA	 0.0646842	 0.0818787
mh20USC-20pA	  0.175765	        NA	 0.0744689	 0.0940233
mh20USC-20pB	  0.128341	        NA	 0.0658051	  0.081554
mh20USC-20qA	  0.160694	        NA	  0.083192	  0.105372
mh20USC-20qB	  0.138377	        NA	 0.0739086	 0.0984908
mh20ZBF-001	  0.103514	        NA	 0.0683579	 0.0818413
 mh21AT-41	 0.0731412	        NA	 0.0697548	 0.0851548
 mh21AT-43	 0.0372468	        NA	 0.0562684	 0.0666127
 mh21AT-44	 0.0938395	        NA	 0.0740882	 0.0937482
mh21KK-313	  0.266854	        NA	  0.100582	  0.124583
mh21KK-315	  0.129154	        NA	 0.0802028	  0.103234
mh21KK-316	  0.254859	        NA	 0.0854411	  0.114158
mh21KK-320	  0.158281	        NA	 0.0841802	  0.114472
mh21KK-324	  0.307099	        NA	  0.104422	  0.148227
mh21KKCS-315	  0.261039	        NA	 0.0962197	  0.144239
mh21KKCS-320	  0.188418	        NA	  0.089062	   0.12397
mh21KKCS-324	   0.35952	        NA	  0.111943	  0.163732
mh21PK-MX1s	  0.172923	        NA	 0.0751597	  0.100634
mh21USC-21qA	  0.177507	        NA	  0.079297	  0.104611
mh21USC-21qB	  0.134869	        NA	 0.0802313	 0.0996714
 mh22AT-45	 0.0985879	        NA	 0.0676207	 0.0852426
 mh22AT-46	 0.0274763	        NA	 0.0600595	 0.0705824
mh22KK-060	 0.0779394	        NA	 0.0657377	 0.0792359
mh22KK-061	 0.0710762	        NA	 0.0729845	 0.0876613
mh22KK-064	  0.177543	        NA	 0.0743864	 0.0955736
mh22KK-069	  0.227819	        NA	 0.0821627	  0.102611
mh22KK-303	 0.0970112	        NA	 0.0657904	 0.0808113
mh22KKCS-340	  0.345709	        NA	  0.110542	  0.152065
 mh22NH-27	   0.11739	        NA	 0.0703533	 0.0922284
mh22USC-22qA	  0.153912	        NA	 0.0704723	 0.0916524
mh22USC-22qB	  0.291642	        NA	  0.100936	  0.135831
mh22ZBF-001	  0.193502	        NA	 0.0793918	  0.111678
mh22ZHA-003	  0.207343	        NA	  0.085176	  0.113705
mh22ZHA-008	  0.114788	        NA	 0.0804745	  0.101771
Command:       infocalc  -column 2  -numpops 26  -input individual-haplotypes.txt  -output marker-informativeness.txt  -weightfile [none]
PriorWeights:  ACB 0.0384615   ASW 0.0384615   BEB 0.0384615   CDX 0.0384615   CEU 0.0384615   CHB 0.0384615   CHS 0.0384615   CLM 0.0384615   ESN 0.0384615   FIN 0.0384615   GBR 0.0384615   GIH 0.0384615   GWD 0.0384615   IBS 0.0384615   ITU 0.0384615   JPT 0.0384615   KHV 0.0384615   LWK 0.0384615   MSL 0.0384615   MXL 0.0384615   PEL 0.0384615   PJL 0.0384615   PUR 0.0384615   STU 0.0384615   TSI 0.0384615   YRI 0.0384615   
