Name	PermID	Reference	Chrom	Offsets	Ae	In	Fst	Source
mh09USC-9qC	MHDBM-46fb8873	GRCh38	chr9	133903714,133903729,133903741,133903772,133903791	3.8223	0.1857	0.0327	10.1016/j.fsigen.2019.102213
mh09KK-035	MHDBM-55752043	GRCh38	chr9	134525268,134525461	2.7376	0.0239	0.0330	ALFRED
mh09AT-18	MHDBM-f34a0fd9	GRCh38	chr9	134525429,134525458,134525461	2.7781	0.0513	0.0368	ISFG2019:P597
mh10KK-163	MHDBM-195029a7	GRCh38	chr10	3120217,3120230,3120293,3120332,3120476	5.1071	0.2302	0.0487	ALFRED
mh10AT-19	MHDBM-d0337f9d	GRCh38	chr10	3120217,3120230,3120293	3.6749	0.1168	0.0103	ISFG2019:P597
mh10CP-006	MHDBM-f3170acd	GRCh38	chr10	6217655,6217663,6217664,6217693,6217698	2.5828	0.2584	0.0920	10.1016/j.fsigen.2019.02.018
mh10USC-10pA	MHDBM-9632d6cb	GRCh38	chr10	10370253,10370276,10370279	3.1754	0.0761	0.0912	10.1016/j.fsigen.2019.102213
mh10NH-14	MHDBM-0a571486	GRCh38	chr10	11288561,11288584,11288612	2.5210	0.1461	0.0202	10.1016/j.legalmed.2015.06.003
mh10KK-169	MHDBM-7dea0c4b	GRCh38	chr10	14166361,14166510,14166588,14166611,14166652	5.7650	0.2829	0.0205	ALFRED
mh10CP-005	MHDBM-c110d1ac	GRCh38	chr10	14613455,14613468,14613487	2.2441	0.1018	0.0939	10.1016/j.fsigen.2019.02.018
mh10LV-03	MHDBM-e58b05b5	GRCh38	chr10	16674549,16674557,16674564,16674565,16674607,16674623,16674629,16674631,16674632,16674634,16674642,16674655,16674673,16674678,16674696,16674700,16674742,16674748,16674749,16674777,16674787,16674797,16674819,16674852,16674853,16674873	25.1567	0.8834	0.0321	10.1016/j.fsigen.2018.05.001
mh10CP-003	MHDBM-ff317646	GRCh38	chr10	24304121,24304127,24304146	3.0824	0.1915	0.0145	ALFRED
mh10USC-10pB	MHDBM-ac0a4a38	GRCh38	chr10	25550464,25550502,25550516	2.7203	0.2438	0.1940	10.1016/j.fsigen.2019.102213
mh10NH-15	MHDBM-a36b9fa2	GRCh38	chr10	33201755,33201798,33201851	1.6426	0.0765	0.3842	10.1016/j.legalmed.2015.06.003
mh10USC-10qA	MHDBM-870e3f09	GRCh38	chr10	44446526,44446541,44446553	3.0399	0.1392	0.0909	10.1016/j.fsigen.2019.102213
mh10KK-170	MHDBM-a362392e	GRCh38	chr10	77150283,77150315,77150472	2.7886	0.2465	0.2788	ALFRED
mh10USC-10qB	MHDBM-beabc817	GRCh38	chr10	81422390,81422401,81422406	2.7849	0.1512	0.1346	10.1016/j.fsigen.2019.102213
mh10KK-083	MHDBM-ad2d3330	GRCh38	chr10	94761816,94761899	1.6203	0.0435	-0.0619	ALFRED
mh10KK-084	MHDBM-b5c94a06	GRCh38	chr10	95058348,95058361	1.1626	0.0739	-0.0563	ALFRED
mh10KK-085	MHDBM-351b30d4	GRCh38	chr10	95067392,95067420	1.9111	0.1098	-0.0794	ALFRED
mh10KK-086	MHDBM-b71193ce	GRCh38	chr10	95069672,95069771	1.9186	0.1410	0.1095	ALFRED
mh10KK-087	MHDBM-ea69bce3	GRCh38	chr10	105121710,105121752	1.9090	0.0201	0.1966	ALFRED
mh10NH-16	MHDBM-1dbaf308	GRCh38	chr10	113584043,113584071,113584092	1.7349	0.0321	0.0062	10.1016/j.legalmed.2015.06.003
mh10PK-62104	MHDBM-5f9c6cab	GRCh38	chr10	127392565,127392577,127392596,127392610,127392611,127392620,127392632	2.0068	0.0482	0.1032	10.1016/j.fsigen.2018.05.008
mh10USC-10qC	MHDBM-9fc26782	GRCh38	chr10	133152559,133152612,133152649	3.4118	0.1128	0.0546	10.1016/j.fsigen.2019.102213
mh10KK-101	MHDBM-32587a6d	GRCh38	chr10	133533422,133533454	2.1774	0.1047	0.1394	ALFRED
mh10KK-088	MHDBM-a2aaddf0	GRCh38	chr10	133537759,133537857	1.5029	0.1163	0.1408	ALFRED
mh11PK-62906	MHDBM-796e0392	GRCh38	chr11	247979,247985,247997,248001,248009,248015,248035	2.5711	0.4029	0.1147	10.1016/j.fsigen.2018.05.008
mh11KK-180	MHDBM-6d611fb7	GRCh38	chr11	1669560,1669680,1669738,1669753	4.0916	0.2604	0.1736	ALFRED
mh11AT-20	MHDBM-cac036b3	GRCh38	chr11	1669719,1669738,1669753	3.3294	0.1930	0.1601	ISFG2019:P597
mh11KK-036	MHDBM-3c24c3d4	GRCh38	chr11	5088715,5088837	2.6086	0.0563	0.0342	ALFRED
mh11AT-21	MHDBM-3c24c3d4	GRCh38	chr11	5088715,5088837	2.6086	0.0563	0.0342	ISFG2019:P597
mh11CP-003	MHDBM-a2ff96a7	GRCh38	chr11	5854636,5854653,5854658	3.4022	0.0460	0.0100	ALFRED
mh11USC-11pA	MHDBM-7c6d9d1a	GRCh38	chr11	14767417,14767470,14767490	2.9992	0.1247	-0.0313	10.1016/j.fsigen.2019.102213
mh11NH-17	MHDBM-bca12cd3	GRCh38	chr11	17400242,17400312,17400338	2.5068	0.2077	0.1830	10.1016/j.legalmed.2015.06.003
mh11CP-004	MHDBM-593f807f	GRCh38	chr11	21063267,21063268,21063292	2.3288	0.0706	-0.0191	ALFRED
mh11CP-005	MHDBM-71f2c227	GRCh38	chr11	23335742,23335767,23335773	2.8136	0.1411	0.1238	ALFRED
mh11PK-63643	MHDBM-c5ce121f	GRCh38	chr11	34415814,34415816,34415818,34415835,34415836,34415846,34415850				10.1016/j.fsigen.2018.05.008
mh11USC-11pB	MHDBM-2408c5b4	GRCh38	chr11	34415816,34415818,34415835,34415836	3.9841	0.1404	0.1346	10.1016/j.fsigen.2019.102213
mh11NH-18	MHDBM-c221d515	GRCh38	chr11	60929411,60929455,60929496	2.1087	0.0590	0.0016	10.1016/j.legalmed.2015.06.003
mh11NH-19	MHDBM-9b0f1170	GRCh38	chr11	60929640,60929665,60929689	2.1420	0.1614	0.1055	10.1016/j.legalmed.2015.06.003
mh11USC-11qA	MHDBM-50f0463e	GRCh38	chr11	70096117,70096120	2.8109	0.0998	0.0743	10.1016/j.fsigen.2019.102213
mh11KK-037	MHDBM-2cddd3a7	GRCh38	chr11	72558169,72558257,72558302	2.3053	0.1492	0.1558	ALFRED
mh11KK-187	MHDBM-19b49670	GRCh38	chr11	79236550,79236579,79236599,79236731	2.6600	0.2458	0.1572	ALFRED
mh11KK-191	MHDBM-c19be300	GRCh38	chr11	100009430,100009491,100009549,100009619	3.1321	0.1755	0.0746	ALFRED
mh11AT-22	MHDBM-67f0b23b	GRCh38	chr11	100009430,100009491	2.1826	0.0922	0.0491	ISFG2019:P597
mh11USC-11qB	MHDBM-cc78718a	GRCh38	chr11	102727843,102727855,102727868,102727923	3.0390	0.1335	0.0106	10.1016/j.fsigen.2019.102213
mh11KK-092	MHDBM-12397e44	GRCh38	chr11	113194301,113194570,113194596	3.0079	0.1017	-0.0278	ALFRED
mh11KK-038	MHDBM-0de44dd7	GRCh38	chr11	113240778,113240942	2.3550	0.0988	0.0906	ALFRED
mh11KK-039	MHDBM-9db622f8	GRCh38	chr11	113340606,113340647	2.4973	0.0982	-0.0590	ALFRED
mh11KK-040	MHDBM-3d69621c	GRCh38	chr11	113393747,113393788	2.3026	0.1810	0.1008	ALFRED
mh11AT-23	MHDBM-3d69621c	GRCh38	chr11	113393747,113393788	2.3026	0.1810	0.1008	ISFG2019:P597
mh11KK-089	MHDBM-b4e02ca7	GRCh38	chr11	113411552,113411572	2.3311	0.0770	0.0775	ALFRED
mh11KK-041	MHDBM-b89e7c23	GRCh38	chr11	113412736,113412754	2.3966	0.1212	0.0976	ALFRED
mh11KK-103	MHDBM-ea10d42c	GRCh38	chr11	113418314,113418343,113418459,113418575	2.5799	0.2370	0.0478	ALFRED
mh11KK-090	MHDBM-f67cb0d4	GRCh38	chr11	113425551,113425563	1.5968	0.0751	-0.0285	ALFRED
mh11KK-091	MHDBM-d896ebf8	GRCh38	chr11	113475528,113475628	1.8058	0.1445	0.2072	ALFRED
mh11USC-11qC	MHDBM-e7b73270	GRCh38	chr11	129407382,129407396,129407418	3.0790	0.0940	-0.0298	10.1016/j.fsigen.2019.102213
mh12CP-008	MHDBM-003a7083	GRCh38	chr12	1996655,1996658,1996688	4.1092	0.0918	0.0172	ALFRED
mh12NH-20	MHDBM-762a0625	GRCh38	chr12	2201285,2201362,2201384,2201449	1.7802	0.0178	-0.0286	10.1016/j.legalmed.2015.06.003
mh12KK-043	MHDBM-be819645	GRCh38	chr12	3599332,3599379,3599442	2.4609	0.1136	0.1510	ALFRED
mh12USC-12pA	MHDBM-d8af0d64	GRCh38	chr12	6471061,6471082,6471106,6471147	3.5261	0.2100	-0.0562	10.1016/j.fsigen.2019.102213
mh12KK-092	MHDBM-d13e1d9a	GRCh38	chr12	6796014,6796097	1.9462	0.0471	-0.1244	ALFRED
mh12USC-12pB	MHDBM-734a9296	GRCh38	chr12	29994612,29994629,29994637	2.9231	0.1099	0.0390	10.1016/j.fsigen.2019.102213
mh12KK-202	MHDBM-29c66960	GRCh38	chr12	30017295,30017372,30017425,30017448	3.1564	0.0962	0.0309	ALFRED
mh12AT-24	MHDBM-49fa0a39	GRCh38	chr12	30017372,30017425,30017448	3.0616	0.0748	0.0295	ISFG2019:P597
mh12USC-12qA	MHDBM-d70a81c4	GRCh38	chr12	40392916,40392929,40392949	3.5284	0.0532	0.0947	10.1016/j.fsigen.2019.102213
mh12USC-12qB	MHDBM-b12bc2a2	GRCh38	chr12	68114495,68114515,68114543,68114572	4.0409	0.2835	0.1527	10.1016/j.fsigen.2019.102213
mh12CP-007	MHDBM-f1a1d544	GRCh38	chr12	68895968,68895985,68895994	2.8523	0.0898	0.1218	10.1016/j.fsigen.2019.02.018
mh12USC-12qC	MHDBM-5d875c46	GRCh38	chr12	95767416,95767428,95767482,95767486	3.6260	0.2453	-0.0493	10.1016/j.fsigen.2019.102213
mh12KK-093	MHDBM-5654cadc	GRCh38	chr12	102821069,102821124	1.5134	0.1833	0.2320	ALFRED
mh12KK-045	MHDBM-596da7ff	GRCh38	chr12	102866855,102867040	2.3015	0.2104	0.1726	ALFRED
mh12KK-042	MHDBM-f4df5b1c	GRCh38	chr12	111555907,111556081	2.0035	0.2313	0.1965	ALFRED
mh12KK-046	MHDBM-8a9913c2	GRCh38	chr12	118451682,118451753	3.1163	0.1358	0.2188	ALFRED
mh12AT-25	MHDBM-8a9913c2	GRCh38	chr12	118451682,118451753	3.1163	0.1358	0.2188	ISFG2019:P597
mh12CP-003	MHDBM-26405ce1	GRCh38	chr12	129135548,129135549,129135561	2.9323	0.0773	0.0268	10.1016/j.fsigen.2019.02.018
mh13KK-213	MHDBM-d5615acf	GRCh38	chr13	23191401,23191495,23191541	4.0188	0.1518	0.0097	ALFRED
mh13AT-26	MHDBM-3dff744b	GRCh38	chr13	23191461,23191495,23191541	3.5316	0.1635	0.0459	ISFG2019:P597
mh13CP-008	MHDBM-021d5e78	GRCh38	chr13	24343962,24343985,24343993	3.0655	0.1661	0.0808	ALFRED
mh13CP-010	MHDBM-13233c9a	GRCh38	chr13	29218044,29218055,29218076	2.8783	0.0775	-0.0373	10.1016/j.fsigen.2019.02.018
mh13USC-13qA	MHDBM-31aaadda	GRCh38	chr13	32979441,32979488,32979489,32979510	4.4067	0.1615	-0.0276	10.1016/j.fsigen.2019.102213
mh13KK-217	MHDBM-58fe77e7	GRCh38	chr13	46291794,46291834,46291948,46291986	4.4789	0.1662	0.0045	ALFRED
mh13AT-27	MHDBM-43558871	GRCh38	chr13	46291948,46291986	2.5160	0.0614	0.0532	ISFG2019:P597
mh13KK-047	MHDBM-77c0086f	GRCh38	chr13	50313423,50313588	2.3896	0.1949	0.0929	ALFRED
mh13KK-218	MHDBM-d645f595	GRCh38	chr13	53486691,53486745,53486756,53486836	7.2252	0.2687	0.0217	ALFRED
mh13USC-13qB	MHDBM-ed4ee582	GRCh38	chr13	63435472,63435478,63435498,63435532	3.7038	0.1532	0.0396	10.1016/j.fsigen.2019.102213
mh13KK-225	MHDBM-4f77d482	GRCh38	chr13	66138599,66138657,66138695	3.4264	0.1181	0.1108	ALFRED
mh13LV-10	MHDBM-c831d388	GRCh38	chr13	70291859,70291862,70291863,70291871,70291875,70291919,70291931,70291932,70291933,70291934,70291946,70291965,70291983,70291990,70291999,70292013,70292052	9.6136	0.5320	0.0235	10.1016/j.fsigen.2018.05.001
mh13USC-13qC	MHDBM-bc455428	GRCh38	chr13	85333526,85333532,85333537,85333544	3.0932	0.1236	0.0445	10.1016/j.fsigen.2019.102213
mh13KK-226	MHDBM-7b8c12e3	GRCh38	chr13	94894395,94894512	2.0022	0.2116	0.2554	ALFRED
mh13KK-223	MHDBM-4088f2e4	GRCh38	chr13	110154351,110154394,110154411,110154504	4.0458	0.1173	0.0870	ALFRED
mh13AT-30	MHDBM-d953450d	GRCh38	chr13	110154351,110154394,110154411	3.2630	0.0628	0.0877	ISFG2019:P597
mh13USC-13qD	MHDBM-780fecae	GRCh38	chr13	111435605,111435617,111435623,111435672	4.2401	0.1535	0.0101	10.1016/j.fsigen.2019.102213
mh14KK-068	MHDBM-80e639ec	GRCh38	chr14	21157082,21157102	2.4191	0.1268	-0.0516	ALFRED
mh14USC-14qA	MHDBM-79bac712	GRCh38	chr14	25255022,25255041,25255048	3.3716	0.1078	0.0604	10.1016/j.fsigen.2019.102213
mh14PK-72639	MHDBM-5548fd05	GRCh38	chr14	32203273,32203274,32203277,32203278,32203291,32203302,32203309,32203320,32203323	3.3837	0.2055	0.0585	10.1016/j.fsigen.2018.05.008
mh14CP-003	MHDBM-64b4bc49	GRCh38	chr14	32686114,32686138,32686149	3.2536	0.1494	0.0480	ALFRED
mh14NH-21	MHDBM-4551977f	GRCh38	chr14	33520990,33521031,33521083	2.8950	0.0802	0.0807	10.1016/j.legalmed.2015.06.003
mh14CP-004	MHDBM-ae195b06	GRCh38	chr14	38976183,38976202,38976225	2.8969	0.1056	0.1506	ALFRED
mh14USC-14qB	MHDBM-e0f71b0d	GRCh38	chr14	51779876,51779937,51779953	2.9561	0.1043	0.0593	10.1016/j.fsigen.2019.102213
mh14NH-22	MHDBM-ddf31276	GRCh38	chr14	68910057,68910092,68910129	1.6218	0.0976	0.0909	10.1016/j.legalmed.2015.06.003
mh14KK-048	MHDBM-74c13a43	GRCh38	chr14	73783853,73784011	2.7891	0.1681	0.0931	ALFRED
mh14USC-14qC	MHDBM-5fe662c9	GRCh38	chr14	76167613,76167623,76167667	2.8581	0.1645	0.1156	10.1016/j.fsigen.2019.102213
mh14USC-14qD	MHDBM-14040a39	GRCh38	chr14	97762484,97762487,97762497	2.8059	0.2005	0.1847	10.1016/j.fsigen.2019.102213
mh14KK-101	MHDBM-132db0af	GRCh38	chr14	105543139,105543234	1.7532	0.3666	0.4969	ALFRED
mh15PK-75170	MHDBM-dc55cd9e	GRCh38	chr15	24802313,24802319,24802320,24802331,24802336,24802338,24802344,24802348,24802364,24802366,24802374,24802376,24802379				10.1016/j.fsigen.2018.05.008
mh15KK-068	MHDBM-10135880	GRCh38	chr15	27951674,27951890	1.8539	0.2901	0.1034	ALFRED
mh15KK-069	MHDBM-b18948cd	GRCh38	chr15	27984950,27985037	2.1636	0.2302	0.2762	ALFRED
mh15KK-058	MHDBM-d6c594d2	GRCh38	chr15	28120284,28120471,28120586	2.2110	0.3799	0.0862	ALFRED
mh15USC-15qA	MHDBM-70d85d8a	GRCh38	chr15	33639028,33639029,33639063,33639111	3.8458	0.1564	0.1224	10.1016/j.fsigen.2019.102213
mh15CP-001	MHDBM-e74afe73	GRCh38	chr15	40076158,40076160,40076162	3.3690	0.0683	-0.0678	ALFRED
mh15CP-004	MHDBM-3bd729bb	GRCh38	chr15	43509825,43509839,43509872	2.2061	0.2382	0.2168	ALFRED
mh15KK-067	MHDBM-e14f7d72	GRCh38	chr15	46578535,46578656	2.9062	0.1986	0.1106	ALFRED
mh15AT-31	MHDBM-2374bfc6	GRCh38	chr15	46578535,46578630,46578656	3.3742	0.2110	0.0716	ISFG2019:P597
mh15CP-003	MHDBM-c2b1818c	GRCh38	chr15	47831252,47831292,47831295	2.0431	0.1915	0.0265	ALFRED
mh15KK-095	MHDBM-8efcee47	GRCh38	chr15	48122771,48122870	1.9264	0.1947	0.3359	ALFRED
mh15KK-066	MHDBM-882c69bf	GRCh38	chr15	52192752,52192826	3.1079	0.1340	0.1765	ALFRED
mh15AT-32	MHDBM-882c69bf	GRCh38	chr15	52192752,52192826	3.1079	0.1340	0.1765	ISFG2019:P597
mh15USC-15qB	MHDBM-956e152a	GRCh38	chr15	61473268,61473320,61473326	2.8538	0.1972	0.1434	10.1016/j.fsigen.2019.102213
mh15KK-104	MHDBM-10729ce3	GRCh38	chr15	63806357,63806413,63806494	2.3577	0.2823	0.2426	ALFRED
mh15USC-15qC	MHDBM-bdbaeb04	GRCh38	chr15	80292254,80292324,80292331	3.0501	0.2069	0.1532	10.1016/j.fsigen.2019.102213
mh15USC-15qD	MHDBM-e182c338	GRCh38	chr15	97712697,97712703,97712738,97712747	2.8421	0.2805	0.2047	10.1016/j.fsigen.2019.102213
mh16KK-049	MHDBM-9da28473	GRCh38	chr16	7159206,7159245,7159265,7159309,7159379	4.4743	0.1576	0.0548	ALFRED
mh16AT-33	MHDBM-830c34ca	GRCh38	chr16	7159206,7159245,7159265	2.9913	0.1240	0.0848	ISFG2019:P597
mh16KK-302	MHDBM-3a410e27	GRCh38	chr16	7537731,7537743,7537801,7537844	3.0255	0.2461	0.1498	ALFRED
mh16CP-001	MHDBM-4d9f4854	GRCh38	chr16	8781671,8781673,8781687,8781727,8781747	3.4305	0.1054	0.1348	10.1016/j.fsigen.2019.02.018
mh16USC-16pA	MHDBM-a364c34b	GRCh38	chr16	9581410,9581419,9581424,9581450	3.0909	0.1981	0.0471	10.1016/j.fsigen.2019.102213
mh16USC-16pB	MHDBM-ed27afef	GRCh38	chr16	24314926,24314936	2.6670	0.0751	0.0574	10.1016/j.fsigen.2019.102213
mh16KK-053	MHDBM-80528774	GRCh38	chr16	31087678,31087689	1.4044	0.4380	0.3117	ALFRED
mh16USC-16qA	MHDBM-c0a82420	GRCh38	chr16	60999359,60999366,60999375	3.0070	0.1408	0.0965	10.1016/j.fsigen.2019.102213
mh16PK-83362	MHDBM-7303e6d0	GRCh38	chr16	77999242,77999261,77999270,77999274,77999281,77999282,77999288,77999291	2.3252	0.1388	0.3857	10.1016/j.fsigen.2018.05.008
mh16KK-255	MHDBM-d61ecba6	GRCh38	chr16	81936747,81936760,81936801,81936889	3.7200	0.1733	0.0491	ALFRED
mh16AT-34	MHDBM-6da45cf1	GRCh38	chr16	81936801,81936842,81936865	3.6395	0.1712	0.0537	ISFG2019:P597
mh16USC-16qB	MHDBM-a611b4d9	GRCh38	chr16	82548846,82548921,82548934	3.1520	0.1025	0.0839	10.1016/j.fsigen.2019.102213
mh16PK-83483	MHDBM-51163f6e	GRCh38	chr16	84516828,84516829,84516830,84516845,84516874,84516880,84516887,84516893,84516898	2.9703	0.2089	0.1535	10.1016/j.fsigen.2018.05.008
mh16PK-83544	MHDBM-c80956b4	GRCh38	chr16	85934074,85934082,85934105,85934115,85934128,85934137	3.1307	0.1018	0.0694	10.1016/j.fsigen.2018.05.008
mh16KK-061	MHDBM-4cc47c4a	GRCh38	chr16	87447772,87447821	2.5816	0.2182	0.1120	ALFRED
mh16KK-062	MHDBM-69423f7f	GRCh38	chr16	87468088,87468129,87468385	2.3562	0.3633	0.3843	ALFRED
mh16KK-096	MHDBM-7dacf420	GRCh38	chr16	89919708,89919745	1.3676	0.2152	0.3973	ALFRED
mh17CP-002	MHDBM-cee77cfe	GRCh38	chr17	2036207,2036208,2036248	2.5303	0.1619	0.0419	10.1016/j.fsigen.2019.02.018
mh17USC-17pA	MHDBM-d5646523	GRCh38	chr17	3918624,3918658,3918693	2.9956	0.2630	0.2001	10.1016/j.fsigen.2019.102213
mh17KK-014	MHDBM-83a239de	GRCh38	chr17	4497060,4497088,4497096	2.0215	0.6423	0.3014	ALFRED
mh17CP-001	MHDBM-9d093450	GRCh38	chr17	11308466,11308492,11308502	3.4663	0.0681	-0.0312	ALFRED
mh17CP-006	MHDBM-6ca2e148	GRCh38	chr17	15385768,15385781,15385817	3.0788	0.0582	-0.0241	ALFRED
mh17CP-005	MHDBM-28426531	GRCh38	chr17	19715705,19715739,19715749	3.3227	0.1033	0.0172	ALFRED
mh17USC-17qA	MHDBM-cd7a9041	GRCh38	chr17	27762200,27762204,27762238,27762287	3.5538	0.0604	-0.0283	10.1016/j.fsigen.2019.102213
mh17KK-052	MHDBM-c36ecfec	GRCh38	chr17	45394954,45395140	2.7946	0.0848	0.0216	ALFRED
mh17KK-076	MHDBM-c1787548	GRCh38	chr17	45658111,45658151	1.2002	0.0651	0.0617	ALFRED
mh17KK-077	MHDBM-40474c38	GRCh38	chr17	45777789,45777861	2.0724	0.0982	0.0272	ALFRED
mh17KK-105	MHDBM-78a6dffc	GRCh38	chr17	45996522,45996606,45996651	1.3010	0.0700	0.0370	ALFRED
mh17KK-053	MHDBM-46b4a872	GRCh38	chr17	47618465,47618547	2.1412	0.0603	0.0939	ALFRED
mh17KK-054	MHDBM-f4474b7c	GRCh38	chr17	49209704,49209746	2.7398	0.0523	0.0337	ALFRED
mh17AT-35	MHDBM-f4474b7c	GRCh38	chr17	49209704,49209746	2.7398	0.0523	0.0337	ISFG2019:P597
mh17USC-17qB	MHDBM-628beaf4	GRCh38	chr17	51372404,51372415,51372451	3.2754	0.1422	0.1412	10.1016/j.fsigen.2019.102213
mh17KK-272	MHDBM-5869366c	GRCh38	chr17	54865066,54865094,54865129,54865196	3.0672	0.1099	-0.0101	ALFRED
mh17AT-36	MHDBM-bbf04f30	GRCh38	chr17	54865066,54865094	2.3146	0.0493	-0.0358	ISFG2019:P597
mh17KK-110	MHDBM-f8c66ec0	GRCh38	chr17	55486420,55486611	1.5197	0.0634	-0.0759	ALFRED
mh17KK-055	MHDBM-97f41f6a	GRCh38	chr17	78232489,78232548	2.7745	0.0293	0.0317	ALFRED
mh17USC-17qC	MHDBM-c9406681	GRCh38	chr17	80946036,80946058,80946091,80946119	3.3880	0.0956	-0.0863	10.1016/j.fsigen.2019.102213
mh18PK-87558	MHDBM-1e5374f1	GRCh38	chr18	1960542,1960557,1960561,1960566,1960582,1960588	2.3659	0.1325	0.0494	10.1016/j.fsigen.2018.05.008
mh18USC-18pA	MHDBM-56dfa93b	GRCh38	chr18	5280017,5280020,5280070,5280071,5280093	3.4330	0.2130	0.1818	10.1016/j.fsigen.2019.102213
mh18CP-005	MHDBM-a85754d3	GRCh38	chr18	8892864,8892893,8892896,8892907	3.6722	0.0904	0.0059	ALFRED
mh18KK-285	MHDBM-ea520d26	GRCh38	chr18	24557354,24557431,24557447,24557489	2.7524	0.1721	0.0836	ALFRED
mh18AT-38	MHDBM-db09ec41	GRCh38	chr18	24557431,24557447,24557489	2.7093	0.1419	0.0837	ISFG2019:P597
mh18CP-003	MHDBM-6fdf83f9	GRCh38	chr18	25488431,25488461,25488469	3.1124	0.1061	0.0183	ALFRED
mh18USC-18qA	MHDBM-010d0f9c	GRCh38	chr18	31141606,31141609,31141623	2.8734	0.0847	0.1773	10.1016/j.fsigen.2019.102213
mh18USC-18qB	MHDBM-14fcada5	GRCh38	chr18	53021128,53021158,53021170	3.1683	0.1449	0.0500	10.1016/j.fsigen.2019.102213
mh18USC-18qC	MHDBM-6bf74efc	GRCh38	chr18	66175286,66175304,66175320,66175325	3.2513	0.1436	-0.0049	10.1016/j.fsigen.2019.102213
mh18KK-293	MHDBM-13ed6da8	GRCh38	chr18	78329885,78329906,78329944,78329967	4.0036	0.2495	0.0837	ALFRED
mh18AT-39	MHDBM-13ed6da8	GRCh38	chr18	78329885,78329906,78329944,78329967	4.0036	0.2495	0.0837	ISFG2019:P597
mh19USC-19pA	MHDBM-2d713eab	GRCh38	chr19	561778,561795,561815	2.7453	0.0870	0.0733	10.1016/j.fsigen.2019.102213
mh19KK-056	MHDBM-d6ff8635	GRCh38	chr19	4852124,4852324	2.4391	0.0773	0.1760	ALFRED
mh19CP-007	MHDBM-49dbcc57	GRCh38	chr19	14310739,14310772,14310780	3.0813	0.0466	0.0776	ALFRED
mh19USC-19pB	MHDBM-76427274	GRCh38	chr19	16040864,16040894,16040899,16040921,16040929	3.5107	0.1647	0.0731	10.1016/j.fsigen.2019.102213
mh19NH-23	MHDBM-dd72537b	GRCh38	chr19	22052723,22052774,22052817	1.9380	0.0414	-0.0124	10.1016/j.legalmed.2015.06.003
mh19KK-299	MHDBM-8cbeb11c	GRCh38	chr19	22546697,22546748,22546779,22546810,22546850	4.1592	0.2335	0.1102	ALFRED
mh19AT-47	MHDBM-8f439540	GRCh38	chr19	22546697,22546748,22546779	2.4025	0.1298	0.1170	ISFG2019:P597
mh19USC-19qA	MHDBM-f757e745	GRCh38	chr19	33273771,33273785,33273811,33273816	3.3219	0.1127	0.0880	10.1016/j.fsigen.2019.102213
mh19KK-301	MHDBM-2069446a	GRCh38	chr19	50938487,50938502,50938526,50938550	1.9707	0.2673	0.1698	ALFRED
mh19KK-057	MHDBM-eb558c37	GRCh38	chr19	51654948,51655025,51655062	2.3266	0.0667	0.0428	ALFRED
mh19USC-19qB	MHDBM-7b40359b	GRCh38	chr19	53714387,53714389,53714413	4.0756	0.1368	0.0163	10.1016/j.fsigen.2019.102213
mh20KK-035	MHDBM-92f3685a	GRCh38	chr20	2088698,2088728	2.1328	0.2104	0.2180	ALFRED
mh20LV-04	MHDBM-ee1a008b	GRCh38	chr20	5665884,5665895,5665899,5665903,5665905,5665906,5665910,5665911,5665915,5665939,5665944,5665948,5665953,5665958,5665975,5665978,5665982,5665989,5665993,5666004,5666005,5666006,5666011,5666031,5666033,5666037,5666041,5666047,5666048,5666054,5666057,5666074,5666101,5666108,5666109,5666120,5666125,5666134,5666137,5666138,5666141,5666143,5666155,5666166,5666178,5666195,5666220,5666225,5666233	24.2601	0.9019	0.0059	10.1016/j.fsigen.2018.05.001
mh20USC-20pA	MHDBM-fa52795b	GRCh38	chr20	8829401,8829409,8829412,8829475	3.1170	0.1758	0.1826	10.1016/j.fsigen.2019.102213
mh20KK-307	MHDBM-939f71a0	GRCh38	chr20	16532614,16532670,16532696,16532754	3.6919	0.1553	0.0647	ALFRED
mh20AT-40	MHDBM-3691d88c	GRCh38	chr20	16532614,16532670,16532696	3.2336	0.1138	0.0392	ISFG2019:P597
mh20USC-20pB	MHDBM-fa9bf81b	GRCh38	chr20	23104395,23104401,23104453	2.2363	0.1283	0.0781	10.1016/j.fsigen.2019.102213
mh20NH-24	MHDBM-49e3d308	GRCh38	chr20	23565698,23565724,23565752	1.8249	0.0823	0.0955	10.1016/j.legalmed.2015.06.003
mh20NH-25	MHDBM-97598f06	GRCh38	chr20	23566233,23566272,23566303	2.4653	0.1827	0.0107	10.1016/j.legalmed.2015.06.003
mh20USC-20qA	MHDBM-2d438adf	GRCh38	chr20	39401688,39401696,39401709	2.9375	0.1607	0.0594	10.1016/j.fsigen.2019.102213
mh20NH-26	MHDBM-d01dcc53	GRCh38	chr20	45330145,45330209,45330231	2.5503	0.0680	0.0833	10.1016/j.legalmed.2015.06.003
mh20KK-058	MHDBM-a5b17521	GRCh38	chr20	50227722,50227755,50227827	2.7342	0.1250	0.1605	ALFRED
mh20KK-059	MHDBM-214bcf7b	GRCh38	chr20	61128861,61128957	2.0291	0.0291	0.0328	ALFRED
mh20USC-20qB	MHDBM-3802c468	GRCh38	chr20	62516293,62516304,62516313,62516338	3.2928	0.1384	-0.0783	10.1016/j.fsigen.2019.102213
