Marker	Extent	Ae	FailMode	MaxAltFreq	LowComplexRepeats	Repeats	STRs
mh04SCUZJ-0002446	313	3.677	[length]				
mh04SCUZJ-0003326	338	7.845	[length][repeat]			SINE>Alu>AluY[chr4:998963-999231]	
mh04SCUZJ-0010543	42	3.052	[repeat]			SINE>Alu>AluY[chr4:2505328-2505624]	
mh04SCUZJ-0017022	138	5.483	[repeat]			LTR>ERV1>HERVE-int[chr4:3893333-3897169]	
mh04SCUZJ-0019973	303	5.137	[length][repeat]			LTR>ERV1>HERVH-int[chr4:4002581-4005412]	
mh04SCUZJ-0038724	321	5.902	[length][repeat]			SINE>Alu>AluY[chr4:6627424-6627734];SINE>Alu>AluSx3[chr4:6627734-6627919]	
mh04SCUZJ-0041270	296	5.274	[length][repeat]			LINE>L1>L1MB8[chr4:7222125-7222632]	
mh04SCUZJ-0046198	275	5.005	[indel][length]	0.1986			
mh04SCUZJ-0059871.v1	345	1.107	[indel][length]	0.05125			
mh04SCUZJ-0059871.v2	212	1.015	[indel]	0.05125			
mh04SCUZJ-0094786	261	4.615	[length][repeat]			SINE>Alu>AluSx3[chr4:16286779-16287088];LINE>L1>L1M5[chr4:16287088-16287485]	
mh04SCUZJ-0115278.v1	347	2.203	[indel][length]	0.07877			
mh04SCUZJ-0115278.v2	203	1.655	[indel]	0.07877			
mh04SCUZJ-0126299	213	4.259	[repeat]			LTR>ERVL-MaLR>MSTB1[chr4:24281214-24281636]	
mh04SCUZJ-0128388	315	4.463	[indel][length][repeat]	0.4208		SINE>Alu>AluSg[chr4:24904889-24905198];LINE>L1>L1ME1[chr4:24905198-24905360]	
mh04SCUZJ-0146582.v1	345	1.023	[indel][length]	0.1082			
mh04SCUZJ-0175374	306	3.245	[length][repeat]			LTR>ERVL>LTR16A[chr4:36422967-36423276]	
mh04SCUZJ-0194557.v1	346	1.0	[indel][length]	0.1547			
mh04SCUZJ-0194557.v2	227	1.0	[indel]	0.1234			
mh04SCUZJ-0216446.v1	241	4.037	[repeat]			LTR>ERVL>MLT2D[chr4:47001053-47001134];SINE>Alu>AluY[chr4:47001134-47001441]	
mh04SCUZJ-0216446.v2	316	5.605	[length][repeat]			SINE>Alu>AluY[chr4:47001134-47001441];LTR>ERVL>MLT2D[chr4:47001441-47001797]	
mh04SCUZJ-0221892	335	1.0	[length]				
mh04SCUZJ-0226356	243	5.938	[indel]	0.2386			
mh04SCUZJ-0246595	346	7.154	[length][repeat]			LTR>ERV1>MER51-int[chr4:58493826-58495006]	
mh04SCUZJ-0254883	295	2.401	[indel][length]	0.08758			
mh04SCUZJ-0323171	333	5.052	[indel][length][repeat]	0.2382		SINE>Alu>AluY[chr4:76551870-76552161];SINE>Alu>AluJb[chr4:76552224-76552506]	
mh04SCUZJ-0352611	307	1.53	[indel][length]	0.4801			
mh04SCUZJ-0370257	330	1.478	[indel][length]	0.1732			
mh04SCUZJ-0374334	309	4.19	[length][repeat]			SINE>Alu>AluY[chr4:94857936-94858249]	
mh04SCUZJ-0403151	326	3.606	[indel][length][repeat]	0.02815		LTR>ERV1>MER34A[chr4:105561642-105562217]	
mh04SCUZJ-0414863	257	4.586	[repeat]			SINE>Alu>AluSg[chr4:110267067-110267360]	
mh04SCUZJ-0418776	251	4.366	[indel][repeat]	0.01335		LINE>L1>L1ME2[chr4:111418760-111419710];SINE>Alu>AluSz[chr4:111419710-111419734]	
mh04SCUZJ-0442262	306	4.375	[length][repeat]			LTR>ERV1>LTR12C[chr4:118976073-118977610]	
mh04SCUZJ-0474140	245	3.473	[repeat]			SINE>Alu>AluSx[chr4:128730298-128730608];SINE>Alu>AluJb[chr4:128730681-128730904]	
mh04SCUZJ-0474306	329	15.053	[indel][length][repeat]	0.3081		SINE>Alu>AluYm1[chr4:128761262-128761567]	
mh04SCUZJ-0483017	233	3.182	[repeat]			LINE>L1>L1PA4[chr4:130642742-130644554]	
mh04SCUZJ-0488072	286	4.288	[length]				
mh04SCUZJ-0499999	341	1.0	[indel][length]	0.5			
mh04SCUZJ-0515541	166	3.177	[indel][repeat]	0.3599		LINE>L1>L1MD2[chr4:138589825-138590748]	
mh04SCUZJ-0518603	268	3.938	[indel][length][repeat]	0.06774		SINE>Alu>AluY[chr4:139691713-139691998]	
mh04SCUZJ-0536901	249	5.482	[repeat][str]			LINE>L2>L2a[chr4:145904273-145905051]	FGA
mh04SCUZJ-0550345	329	6.836	[length][str]				FGA
mh04SCUZJ-0573519	258	3.739	[repeat][str]			SINE>Alu>AluSx[chr4:160449889-160450200]	FGA
mh04SCUZJ-0576302	163	3.974	[indel][repeat][str]	0.1565		SINE>Alu>AluY[chr4:161024461-161024777]	FGA
mh04SCUZJ-0580985	260	4.595	[repeat][str]			SINE>Alu>AluSc8[chr4:161813030-161813327]	FGA
mh04SCUZJ-0585795	310	4.336	[indel][length][repeat][str]	0.08494		LTR>ERVL-MaLR>THE1B[chr4:162494158-162494380];SINE>Alu>AluY[chr4:162494380-162494687]	FGA
mh04SCUZJ-0606401	348	3.664	[length][repeat]			LTR>ERV1>HERVH-int[chr4:166521100-166523942]	
mh04SCUZJ-0635044.v1	350	6.222	[length][repeat]			SINE>Alu>AluY[chr4:176130462-176130763]	
mh04SCUZJ-0635044.v2	133	3.714	[repeat]			SINE>Alu>AluY[chr4:176130462-176130763]	
mh04SCUZJ-0639864	253	7.331	[indel][repeat]	0.01235		SINE>Alu>AluY[chr4:177231100-177231389]	
mh04SCUZJ-0650295	302	7.267	[length]				
mh04SCUZJ-0666563	312	7.622	[indel][length][repeat]	0.007614		SINE>Alu>AluY[chr4:181766970-181767280];LINE>L1>L1MC4[chr4:181767280-181767411]	
mh04SCUZJ-0668434	198	3.722	[repeat]			SINE>Alu>AluJr[chr4:182326556-182326842]	
mh04SCUZJ-0675378	314	5.575	[length][repeat]			SINE>Alu>AluYh3[chr4:183593041-183593206]	
mh04SCUZJ-0676070	330	6.354	[length][lowcomplex]		A-rich		
mh04SCUZJ-0684549.v1	99	4.393	[indel][repeat]	0.395		SINE>Alu>AluY[chr4:185239200-185239500]	
mh04SCUZJ-0684549.v2	182	5.793	[indel][repeat]	0.395		SINE>Alu>AluY[chr4:185239200-185239500]	
mh04SCUZJ-0692850	77	2.666	[indel][lowcomplex]	0.399	GA-rich		
mh04SCUZJ-0696971	318	3.763	[indel][length][repeat]	0.02433		SINE>Alu>AluYa5[chr4:187529034-187529325];SINE>Alu>AluSc[chr4:187529342-187529629]	
mh04SCUZJ-0714579	225	1.247	[indel]	0.397			
mh04USC-4qC	51	3.019	[str]				FGA
mh04WL-001.v2	297	3.014	[length]				
mh04WL-001.v4	349	5.89	[length]				
mh04WL-003.v1	167	2.917	[indel]	0.4543			
mh04WL-003.v2	14	1.924	[indel]	0.4543			
mh04WL-004.v4	321	4.145	[length]				
mh04WL-009.v2	329	6.08	[length]				
mh04WL-012.v2	265	6.689	[length]				
mh04WL-012.v3	209	6.209	[repeat]			SINE>Alu>AluSg[chr4:56926075-56926372]	
mh04WL-018.v1	176	1.814	[indel]	0.4207			
mh04WL-018.v2	87	1.759	[indel]	0.4207			
mh04WL-022	103	2.504	[str]				FGA
mh04WL-023.v1	134	3.268	[str]				FGA
mh04WL-023.v2	256	3.505	[str]				FGA
mh04WL-023.v3	94	3.175	[str]				FGA
mh04WL-023.v4	308	3.217	[length][str]				FGA
mh04WL-023.v5	134	3.106	[str]				FGA
mh04WL-026.v1	152	3.978	[str]				FGA
mh04WL-026.v2	273	4.914	[length][str]				FGA
mh04WL-027.v2	289	4.585	[length]				
mh04WL-028.v2	299	7.004	[length]				
mh04WL-030.v2	290	4.21	[length]				
mh04WL-031.v2	299	7.416	[length]				
mh04WL-031.v4	320	8.457	[length]				
mh04WL-032	129	2.563	[indel]	0.2041			
mh04WL-047	19	2.439	[str]				FGA
mh04WL-052.v2	343	13.834	[length]				
mh04WL-057	288	4.934	[length]				
mh04WL-069	277	4.284	[length]				
mh04WL-070	266	4.06	[length]				
mh04WL-071	278	3.122	[length]				
mh04WL-073	292	2.975	[length]				
mh04WL-076.v1	148	3.035	[indel]	0.08402			
mh04WL-076.v2	148	3.126	[indel]	0.08402			
mh04WL-083	197	3.179	[indel]	0.02163			
mh04WL-088	189	2.72	[str]				FGA
mh04WL-090	159	3.515	[lowcomplex]		GA-rich		
mh04WL-094	168	2.905	[indel]	0.3255			
mh04WL-097	119	3.506	[str]				FGA
mh04ZBF-001	52	1.661	[indel]	0.4754			
mh04ZHA-001	84	2.979	[repeat]			LINE>L1>L1MB5[chr4:9588275-9588445]	
mh04ZHA-007	79	1.955	[repeat]			LTR>ERV1>MER51-int[chr4:114556821-114561175]	
mh05CP-010	50	1.172	[indel]	0.2975			
mh05HYP-14	68	1.976	[repeat]			LTR>ERV1>LTR7[chr5:18674152-18674598]	
mh05KK-120.v1	276	2.053	[length]				
mh05KK-120.v2	281	2.516	[length]				
mh05LS-5qE	132	2.592	[str]				D5S818
mh05LS-5qF	161	2.365	[str]				D5S818
mh05LS-5qG	154	2.343	[str]				CSF1PO
mh05LW-17	71	1.313	[indel]	0.4935			
mh05LW-18	78	2.432	[repeat][str]			LTR>ERV1>MER110A[chr5:125204686-125204826]	D5S818
mh05LW-19	28	3.088	[str]				CSF1PO
mh05SCUZJ-0004797	340	1.0	[indel][length]	0.06967			
mh05SCUZJ-0004884	343	1.451	[length]				
mh05SCUZJ-0019879	155	6.156	[indel][repeat]	0.01856		SINE>Alu>AluSg[chr5:3016784-3017084];LINE>L1>L1ME2[chr5:3017084-3017913]	
mh05SCUZJ-0042261	349	3.621	[length][repeat]			LTR>ERVL-MaLR>THE1B[chr5:7913186-7913545]	
mh05SCUZJ-0050609	349	13.539	[length][repeat]			SINE>Alu>AluY[chr5:9221294-9221601]	
mh05SCUZJ-0051411	290	3.805	[indel][length]	0.2733			
mh05SCUZJ-0059185	347	3.888	[length]				
mh05SCUZJ-0149834	338	1.849	[length]				
mh05SCUZJ-0152132	291	3.018	[indel][length][repeat]	0.03498		SINE>Alu>AluYe5[chr5:39481141-39481448]	
mh05SCUZJ-0157735	290	3.749	[length][repeat]			LINE>L1>L1M5[chr5:40965942-40966084];LINE>L1>L1PB1[chr5:40966122-40966367]	
mh05SCUZJ-0215771	150	4.442	[repeat]			SINE>Alu>AluYa5[chr5:65909618-65909915];LINE>L1>L1MB4[chr5:65909949-65910129]	
mh05SCUZJ-0218741	345	7.578	[length][repeat]			LINE>RTE-X>L4_C_Mam[chr5:66981024-66981313]	
mh05SCUZJ-0240825	319	7.643	[indel][length]	0.06194			
mh05SCUZJ-0244861	309	3.004	[indel][length]	0.3553			
mh05SCUZJ-0263460	149	4.74	[repeat]			LINE>L1>L1PA4[chr5:84677555-84678060]	
mh05SCUZJ-0264505	273	3.475	[indel][length]	0.2402			
mh05SCUZJ-0269128	212	8.475	[repeat]			SINE>Alu>AluY[chr5:85750662-85750969]	
mh05SCUZJ-0282942.v1	350	1.0	[indel][length]	0.4397			
mh05SCUZJ-0297424	334	1.0	[indel][length]	0.429			
mh05SCUZJ-0315595	338	2.599	[indel][length][repeat]	0.03709		SINE>Alu>AluSp[chr5:108154312-108154607]	
mh05SCUZJ-0341693	263	8.198	[length][repeat][str]			SINE>Alu>AluY[chr5:116040728-116040993]	D5S818
mh05SCUZJ-0378712	245	4.831	[repeat][str]			SINE>Alu>AluSg[chr5:126547769-126548067]	D5S818
mh05SCUZJ-0403869	339	4.187	[length]				
mh05SCUZJ-0427297.v1	304	2.38	[length][repeat][str]			LTR>ERV1>HERVH-int[chr5:147864644-147866703]	CSF1PO
mh05SCUZJ-0427297.v2	214	1.0	[repeat][str]			LTR>ERV1>HERVH-int[chr5:147864644-147866703]	CSF1PO
mh05SCUZJ-0468213	186	3.547	[repeat]			LINE>L1>L1PA6[chr5:161071357-161077370]	
mh05SCUZJ-0478441	210	1.0	[indel]	0.05198			
mh05SCUZJ-0482831	100	4.432	[indel]	0.2002			
mh05SCUZJ-0491123	234	5.021	[lowcomplex][repeat]		A-rich	SINE>Alu>AluSq[chr5:168875349-168875660]	
mh05SCUZJ-0509473	238	4.77	[indel]	0.08731			
mh05SCUZJ-0525156.v1	287	13.538	[indel][length][repeat]	0.011		SINE>Alu>AluY[chr5:178985423-178985722]	
mh05SCUZJ-0525156.v2	192	5.004	[indel][repeat]	0.007394		SINE>Alu>AluY[chr5:178985423-178985722]	
mh05SCUZJ-0529226	246	3.326	[indel]	0.4577			
mh05SCUZJ-0529358	273	17.094	[length][repeat]			SINE>Alu>AluY[chr5:180190205-180190517]	
mh05SHY-001	190	5.426	[indel][repeat]	0.03066		LTR>ERVL-MaLR>MLT1C[chr5:2783304-2783750]	
mh05SHY-003	197	4.571	[repeat]			LINE>L1>L1M5[chr5:5898856-5899380]	
mh05USC-5qC.v1	50	3.43	[str]				D5S818
mh05USC-5qC.v2	68	3.802	[str]				D5S818
mh05WL-003.v3	348	4.722	[length]				
mh05WL-004	52	5.041	[indel]	0.3421			
mh05WL-006.v2	286	3.843	[length]				
mh05WL-015.v2	285	1.0	[length]				
mh05WL-015.v4	320	1.0	[length]				
mh05WL-021	190	2.823	[str]				CSF1PO
mh05WL-025.v2	277	3.48	[length]				
mh05WL-026.v1	155	4.297	[str]				CSF1PO
mh05WL-026.v2	283	7.237	[length][str]				CSF1PO
mh05WL-028	98	2.774	[indel]	0.02254			
mh05WL-031	180	3.017	[str]				CSF1PO
mh05WL-033	120	2.617	[str]				CSF1PO
mh05WL-036	18	1.532	[indel]	0.04396			
mh05WL-040	298	8.952	[length]				
mh05WL-045	287	4.295	[length]				
mh05WL-046.v2	346	4.539	[length]				
mh05WL-053	252	3.281	[lowcomplex]		A-rich		
mh05WL-054	286	4.455	[length]				
mh05WL-056	165	2.946	[str]				D5S818
mh05WL-059	167	4.403	[indel]	0.007915			
mh05WL-061.v1	169	1.224	[indel]	0.3168			
mh05WL-061.v2	177	1.252	[indel]	0.3168			
mh05WL-064	182	3.059	[str]				CSF1PO
mh05WL-065	111	2.256	[indel][str]	0.07398			CSF1PO
mh05WL-067.v2	345	10.635	[length]				
mh05WL-068	10	2.529	[indel][str]	0.1432			D5S818
mh05WL-070.v2	264	4.274	[length]				
mh05ZBF-001	43	1.567	[indel]	0.4943			
mh05ZHA-002	268	3.599	[length]				
mh05ZHA-004	173	3.035	[repeat]			LTR>ERVL>ERV3-16A3_LTR[chr5:175541450-175541796]	
mh05ZHA-005	309	3.159	[length][repeat]			LINE>L2>L2a[chr5:166300540-166301066]	
mh06CP-003	28	2.99	[repeat]			LINE>L1>L1MEi[chr6:5561204-5562201]	
mh06CP-007	43	3.402	[indel]	0.01143			
mh06FHL-001	120	2.849	[indel]	0.4907			
mh06FHL-002	200	6.924	[indel]	0.2746			
mh06KK-008.v2	275	5.806	[length]				
mh06KK-008.v3	275	5.806	[length]				
mh06KK-025	148	2.575	[repeat]			LTR>ERV1>LTR12C[chr6:2935664-2937343]	
mh06KK-090.v1	280	5.354	[length][repeat]			LTR>ERV1>LTR71B[chr6:29970003-29970366]	
mh06KK-090.v2	280	5.357	[length][repeat]			LTR>ERV1>LTR71B[chr6:29970003-29970366]	
mh06KK-101	187	1.673	[repeat]			LINE>L1>L1MC5[chr6:170280852-170281439]	
mh06KK-104	188	5.063	[repeat]			LINE>L2>L2a[chr6:165385504-165385623]	
mh06LV-09	193	6.793	[repeat]			LTR>ERVK>HERVK22-int[chr6:33049697-33056518];LTR>ERVK>HERVK22-int[chr6:33056515-33056652]	
mh06LW-20	11	3.795	[indel]	0.009829			
mh06LW-21	75	3.914	[repeat]			LTR>ERVK>LTR5A[chr6:52947697-52948713]	
mh06LW-22	61	3.813	[repeat]			LINE>L1>L1PA6[chr6:152608998-152615129]	
mh06PK-24844	55	2.234	[indel][repeat]	0.007148		LTR>ERV1>LTR12C[chr6:13859812-13861505]	
mh06SCUZJ-0000232	251	6.381	[repeat]			SINE>Alu>AluY[chr6:231072-231377]	
mh06SCUZJ-0001113	314	6.235	[length]				
mh06SCUZJ-0006434	333	3.949	[length]				
mh06SCUZJ-0023897	350	5.758	[length]				
mh06SCUZJ-0028667	239	4.478	[repeat]			LTR>ERV1>LTR12C[chr6:6612149-6613802]	
mh06SCUZJ-0036556	350	1.014	[indel][length]	0.2475			
mh06SCUZJ-0044939	253	4.265	[repeat]			LTR>ERVL-MaLR>MLT1F2[chr6:10127660-10128219]	
mh06SCUZJ-0056888.v1	188	3.301	[repeat]			SINE>Alu>AluYa5[chr6:13335433-13335732]	
mh06SCUZJ-0056888.v2	347	5.237	[length][repeat]			SINE>Alu>AluYa5[chr6:13335433-13335732];SINE>Alu>AluJr4[chr6:13335791-13336063]	
mh06SCUZJ-0060725	284	3.429	[indel][length]	0.1677			
mh06SCUZJ-0062900	270	3.084	[length][repeat]			SINE>Alu>AluY[chr6:15282971-15283277]	
mh06SCUZJ-0089255	332	3.54	[length][repeat]			SINE>Alu>AluY[chr6:23733830-23734145];LINE>L1>L1PA5[chr6:23734147-23734941]	
mh06SCUZJ-0126880	158	5.188	[repeat]			SINE>Alu>AluY[chr6:29874446-29874750]	
mh06SCUZJ-0167872	311	5.226	[length][repeat]			LTR>ERV1>LTR43-int[chr6:31210883-31211160];LTR>ERV1>LTR43[chr6:31211160-31211776]	
mh06SCUZJ-0213035	333	1.094	[indel][length]	0.3358			
mh06SCUZJ-0262772	348	1.998	[indel][length]	0.4413			
mh06SCUZJ-0445212	311	3.403	[length]				
mh06SCUZJ-0458246	262	5.071	[indel][length][repeat]	0.01111		LTR>ERV1>PABL_A-int[chr6:52706162-52708671]	
mh06SCUZJ-0480560.v1	341	1.012	[indel][length]	0.07384			
mh06SCUZJ-0480560.v2	159	1.003	[indel]	0.07384			
mh06SCUZJ-0485169	311	1.627	[indel][length]	0.08751			
mh06SCUZJ-0610307	292	6.536	[length][repeat][str]			LINE>L1>L1PA16[chr6:96646703-96646926]	SE33
mh06SCUZJ-0616750	346	5.71	[length]				
mh06SCUZJ-0638919.v1	335	4.33	[indel][length][repeat]	0.47		SINE>Alu>AluY[chr6:106482493-106482811];LINE>L1>L1MA6[chr6:106482857-106483887]	
mh06SCUZJ-0638919.v2	192	3.124	[indel][repeat]	0.47		SINE>Alu>AluY[chr6:106482493-106482811]	
mh06SCUZJ-0663860	346	4.058	[length][repeat]			LTR>ERV1>LTR12C[chr6:115833337-115835163]	
mh06SCUZJ-0752485	324	8.032	[length]				
mh06SCUZJ-0753992	310	6.192	[length]				
mh06SCUZJ-0758459.v1	328	8.495	[indel][length][repeat]	0.2766		SINE>Alu>AluY[chr6:150090974-150091238]	
mh06SCUZJ-0758459.v2	311	3.013	[indel][length][repeat]	0.2766		SINE>Alu>AluY[chr6:150090974-150091238]	
mh06SCUZJ-0775073	234	3.872	[repeat]			SINE>Alu>AluYe5[chr6:153728684-153728986]	
mh06SCUZJ-0777684	343	4.734	[indel][length][repeat]	0.1484		SINE>Alu>AluJr[chr6:154385789-154386059];SINE>Alu>AluSg[chr6:154386305-154386607]	
mh06SCUZJ-0794653	313	8.28	[length][repeat]			SINE>Alu>AluYm1[chr6:159532546-159532866]	
mh06SCUZJ-0795432	229	1.0	[indel]	0.04353			
mh06SCUZJ-0818553	344	1.007	[indel][length]	0.1675			
mh06SCUZJ-0819423	333	4.526	[length][repeat]			LINE>L1>L1PA7[chr6:164976250-164978789]	
mh06SCUZJ-0834226.v1	294	5.182	[indel][length]	0.06636			
mh06SCUZJ-0834226.v2	281	3.437	[indel][length]	0.06636			
mh06SCUZJ-0845279	272	4.639	[length][repeat]			SINE>Alu>AluSx1[chr6:168825166-168825454]	
mh06SCUZJ-0853086	296	2.67	[indel][length]	0.3648			
mh06SHY-003	91	4.374	[repeat]			LINE>L1>L1ME3B[chr6:32605624-32605941]	
mh06SHY-005.v1	161	6.423	[repeat][str]			LTR>ERVL-MaLR>MLT1G1[chr6:82068684-82069065]	SE33
mh06SHY-005.v2	340	8.757	[length][repeat][str]			SINE>Alu>AluY[chr6:82068274-82068561];LTR>ERVL-MaLR>MLT1G1[chr6:82068684-82069065]	SE33
mh06USC-6qB	34	3.338	[str]				SE33
mh06WL-004.v2	292	7.076	[length]				
mh06WL-006.v1	175	1.0	[indel]	0.01503			
mh06WL-006.v2	222	1.0	[indel]	0.01503			
mh06WL-007	170	4.499	[str]				SE33
mh06WL-008.v2	300	10.202	[length]				
mh06WL-009.v1	167	3.086	[indel]	0.02946			
mh06WL-009.v2	268	3.534	[indel][length]	0.02946			
mh06WL-009.v3	45	2.619	[indel]	0.02946			
mh06WL-014.v2	283	6.603	[length]				
mh06WL-017.v1	199	7.576	[indel]	0.1748			
mh06WL-017.v2	100	6.749	[indel]	0.009613			
mh06WL-018.v1	175	1.31	[indel]	0.006625			
mh06WL-018.v2	292	1.16	[indel][length]	0.01312			
mh06WL-018.v3	90	1.16	[indel]	0.006625			
mh06WL-018.v4	298	1.31	[indel][length]	0.006625			
mh06WL-019	58	1.0	[indel]	0.01468			
mh06WL-028.v1	183	3.647	[indel][lowcomplex]	0.05635	A-rich		
mh06WL-028.v2	207	3.697	[indel][lowcomplex]	0.05635	A-rich		
mh06WL-029.v2	274	3.7	[length]				
mh06WL-031.v2	290	3.079	[length]				
mh06WL-035	195	4.298	[str]				SE33
mh06WL-039.v2	275	1.317	[length]				
mh06WL-040	49	1.806	[indel]	0.4101			
mh06WL-050	300	4.134	[indel][length]	0.4951			
mh06WL-057	293	4.567	[length]				
mh06WL-061	297	3.683	[length][repeat]			LINE>RTE-X>L4_A_Mam[chr6:53605990-53606180]	
mh06WL-063.v1	207	3.356	[str]				SE33
mh06WL-063.v2	94	3.116	[str]				SE33
mh06WL-064	247	4.614	[indel]	0.02219			
mh06WL-066a	194	6.076	[indel]	0.06031			
mh06WL-067b	280	3.924	[length]				
mh06WL-072.v2	288	3.427	[length]				
mh06WL-073.v2	348	3.929	[length]				
mh06WL-074	137	3.36	[str]				SE33
mh06WL-078	107	3.876	[indel]	0.03176			
mh07CP-004	46	2.946	[indel]	0.01577			
mh07FHL-001	149	3.753	[indel][repeat]	0.2175		LINE>L1>L1M5[chr7:7810245-7810377]	
mh07FHL-002.v1	150	4.67	[repeat]			LINE>L1>L1MB3[chr7:21860184-21860719]	
mh07FHL-002.v2	330	5.682	[length][repeat]			LINE>L1>L1MB3[chr7:21860184-21860719]	
mh07FHL-004	209	4.631	[indel][repeat]	0.2662		LINE>L1>L1M1[chr7:64060603-64065132]	
mh07HYP-19.v2	257	3.488	[repeat]			LINE>L1>L1MC1[chr7:48417537-48418574]	
mh07HYP-19.v3	345	5.331	[length][repeat]			LINE>L1>L1MC1[chr7:48417537-48418574]	
mh07HYP-20	48	2.341	[repeat]			LTR>ERVL-MaLR>MSTA[chr7:70834790-70835205]	
mh07KK-081	83	1.083	[indel]	0.0315			
mh07LS-7qB	101	2.143	[str]				D7S820
mh07LW-23	56	2.595	[repeat][str]			SINE>Alu>AluSq2[chr7:75810493-75810805]	D7S820
mh07SCUZJ-0003371	337	1.51	[length][repeat]			SINE>Alu>AluY[chr7:283093-283405]	
mh07SCUZJ-0003928	311	7.385	[length][repeat]			SINE>Alu>AluYh3[chr7:310318-310627]	
mh07SCUZJ-0018090	252	7.092	[repeat]			SINE>Alu>AluY[chr7:2696257-2696556]	
mh07SCUZJ-0027619	244	6.8	[indel][repeat]	0.2246		SINE>Alu>AluSx[chr7:4475721-4476027]	
mh07SCUZJ-0039245	338	14.283	[length][repeat]			LTR>ERVK>LTR5A[chr7:6883374-6884389]	
mh07SCUZJ-0040173	342	3.583	[length][repeat]			SINE>Alu>AluSx1[chr7:6932123-6932421]	
mh07SCUZJ-0048768	287	5.392	[length]				
mh07SCUZJ-0053702	210	3.993	[repeat]			LINE>L1>L1MC1[chr7:9085363-9086012]	
mh07SCUZJ-0064598	234	1.029	[indel]	0.1706			
mh07SCUZJ-0081095	305	4.123	[length][repeat]			LTR>ERVL>MLT2B1[chr7:13254379-13254856]	
mh07SCUZJ-0091827	339	3.959	[length][repeat]			SINE>Alu>AluY[chr7:15843482-15843780]	
mh07SCUZJ-0093911	281	4.013	[length][repeat]			LINE>L1>L1M4[chr7:16343122-16344283]	
mh07SCUZJ-0102959.v1	217	1.0	[indel]	0.08113			
mh07SCUZJ-0102959.v2	323	1.0	[indel][length]	0.09764			
mh07SCUZJ-0114457	210	4.343	[indel][repeat]	0.005878		LTR>ERV1>HERVH-int[chr7:20547152-20548843]	
mh07SCUZJ-0114603	346	4.445	[length]				
mh07SCUZJ-0126293	335	1.37	[length]				
mh07SCUZJ-0130504	348	7.175	[length][repeat]			LINE>L2>L2[chr7:24112511-24112736]	
mh07SCUZJ-0141326	175	1.873	[indel]	0.09435			
mh07SCUZJ-0153825	217	3.29	[repeat]			LINE>L1>L1MC3[chr7:31753986-31755571]	
mh07SCUZJ-0177079	186	3.477	[repeat]			SINE>Alu>AluJr[chr7:38115599-38115898]	
mh07SCUZJ-0187111	329	3.93	[length]				
mh07SCUZJ-0195258	124	2.93	[indel][lowcomplex]	0.3279	G-rich		
mh07SCUZJ-0203471	294	4.485	[length][repeat]			SINE>Alu>AluSg[chr7:47242799-47243089]	
mh07SCUZJ-0232374	301	5.478	[indel][length][repeat]	0.2555		LINE>L1>L1M4[chr7:53100836-53102427]	
mh07SCUZJ-0246006	345	1.0	[indel][length]	0.4502			
mh07SCUZJ-0246634	302	4.028	[indel][length]	0.09764			
mh07SCUZJ-0258595	330	2.663	[length]				
mh07SCUZJ-0265742	253	3.528	[indel]	0.009804			
mh07SCUZJ-0269727	261	4.478	[indel][length][repeat]	0.07108		LINE>L1>L1M1[chr7:64328770-64330155]	
mh07SCUZJ-0279301	144	3.672	[repeat]			SINE>Alu>AluSx1[chr7:67013103-67013422]	
mh07SCUZJ-0282207	253	3.774	[repeat]			SINE>Alu>AluY[chr7:67315512-67315814]	
mh07SCUZJ-0309217	332	6.405	[indel][length][repeat][str]	0.1156		SINE>Alu>AluSp[chr7:76417051-76417358]	D7S820
mh07SCUZJ-0311471	285	3.803	[length][repeat][str]			SINE>Alu>AluSx[chr7:77048481-77048631]	D7S820
mh07SCUZJ-0325681	314	5.273	[length][repeat][str]			SINE>Alu>AluSc8[chr7:80701260-80701547]	D7S820
mh07SCUZJ-0339304	326	2.296	[length][repeat][str]			LINE>L1>L1PA4[chr7:84402951-84409055]	D7S820
mh07SCUZJ-0350377	68	3.232	[indel][str]	0.03061			D7S820
mh07SCUZJ-0360945	326	3.659	[indel][length][repeat][str]	0.02396		LINE>L1>L1M4[chr7:92980744-92981480]	D7S820
mh07SCUZJ-0380111.v1	265	7.287	[length]				
mh07SCUZJ-0388024	301	2.643	[length][repeat]			LINE>L1>L1PA2[chr7:103872064-103872994]	
mh07SCUZJ-0395598	199	7.383	[repeat]			SINE>Alu>AluY[chr7:105475193-105475484]	
mh07SCUZJ-0400472	106	6.579	[repeat]			SINE>Alu>AluSc8[chr7:107004161-107004451]	
mh07SCUZJ-0411309	281	7.418	[length][repeat]			SINE>Alu>AluY[chr7:112445058-112445365]	
mh07SCUZJ-0428708	91	5.389	[indel][repeat]	0.1439		LINE>L1>L1MC3[chr7:122986786-122987343]	
mh07SCUZJ-0439025	344	3.402	[length]				
mh07SCUZJ-0462646	345	8.239	[indel][length][lowcomplex][repeat]	0.07594	A-rich	SINE>Alu>AluSc8[chr7:135766079-135766386]	
mh07SCUZJ-0475111	185	1.918	[indel][repeat]	0.4738		SINE>Alu>AluSg[chr7:140415671-140415916]	
mh07SCUZJ-0502291.v2	272	13.394	[length]				
mh07SCUZJ-0507175	319	3.904	[length][repeat]			LTR>ERV1>LTR49-int[chr7:150549075-150550493]	
mh07SCUZJ-0514088	264	1.583	[indel][length]	0.3182			
