Marker	RSIDs
mh13LV-10	rs116941102,rs140084340,rs146597534,rs182258088,rs185357044,rs190605685,rs368821654,rs534584107,rs549039332,rs554762615,rs564438691,rs572712963,rs7321450,rs7322151,rs9542260,rs9564682,rs9572429
mh13USC-13qC	rs1331557,rs34346762,rs60535135,rs9319142
mh13KK-226	rs2892698,rs721367
mh13ZBF-001	rs10540867,rs72649510
mh13ZHA-002	rs12877457,rs72649485,rs9514021,rs9514022
mh13KK-223	rs1192204,rs1192205,rs3825481,rs3825483
mh13AT-30	rs1192204,rs1192205,rs3825483
mh13USC-13qD	rs1163850,rs1163851,rs2528755,rs8000060
mh14KK-068	rs1887063,rs1887064
mh14USC-14qA	rs7147034,rs7147042,rs7152322
mh14PK-72639	rs10129345,rs114396148,rs148880997,rs34533431,rs36004481,rs57470915,rs8003362,rs8003494,rs8003747
mh14CP-003	rs12436504,rs66481544,rs7155003
mh14NH-21	rs2281629,rs2281630,rs2281631
mh14SHY-001	rs10138673,rs182021559,rs2415522,rs529092405,rs540185949,rs548774840,rs560010585,rs575417199,rs72669383,rs7493678
mh14CP-004	rs11157032,rs11157033,rs11157034
mh14USC-14qB	rs4898711,rs7149159,rs79487985
mh14SHY-002	rs1253685,rs1253686,rs1253687,rs143280073,rs146933209,rs17124732,rs185993444,rs536960673,rs544344945,rs545104415,rs546156356,rs557276279,rs558997256,rs565624013,rs566155258,rs572094930,rs8019382
mh14SHY-003	rs114698114,rs117357547,rs12879112,rs2747091,rs2783238,rs377563634,rs534050117,rs541684828,rs559648408,rs71414180
mh14NH-22	rs3742893,rs872809,rs872810
mh14ZHA-003	rs4902946,rs4902947,rs8012670
mh14KKCS-048	rs12717560,rs12878166,rs12879393,rs149195448
mh14KK-048	rs12717560,rs12878166
mh14USC-14qC	rs11629333,rs8005686,rs8005709
mh14USC-14qD	rs11160405,rs11626442,rs1462270
mh14KK-101	rs10134526,rs28529526
mh14ZHA-006	rs71205883,rs7160425,rs7161550,rs78689987
mh15KK-068	rs1800414,rs7173419
mh15KK-069	rs1800410,rs1900758
mh15KK-058	rs12913832,rs6497271,rs7183877
mh15USC-15qA	rs10775210,rs10851886,rs12909514,rs71462875
mh15ZBF-001	rs636967,rs78548506
mh15CP-001	rs12899727,rs34090207,rs369577479
mh15SHY-001	rs11858217,rs139450831,rs142556984,rs146259843,rs149251530,rs184094217,rs532973568,rs540926378,rs543104133,rs553132057,rs564010330,rs565550546,rs573148310,rs622083,rs664177
mh15CP-004	rs28628574,rs34306395,rs506120
mh15KK-067	rs701463,rs701464
mh15AT-31	rs701463,rs701464,rs7183984
mh15CP-003	rs12440416,rs578662,rs58022506
mh15KK-095	rs2433354,rs2459391
mh15KKCS-066	rs1063902,rs1077383,rs147715323,rs148957716,rs183816954,rs4219
mh15KK-066	rs1063902,rs4219
mh15AT-32	rs1063902,rs4219
mh15USC-15qB	rs12708467,rs35864260,rs35936958
mh15KK-104	rs10152453,rs11631544,rs80047978
mh15SHY-002	rs148416560,rs1532958,rs532576162,rs571768228,rs62025977,rs75593651,rs925115,rs9788773
mh15USC-15qC	rs2866602,rs2866603,rs2866604
mh15SHY-003	rs11853339,rs11853583,rs371806948,rs378154,rs395678,rs543958149,rs562122533,rs572636463,rs576296342,rs6496959,rs6496960,rs75260751
mh15SHY-004	rs114511162,rs181833960,rs529836883,rs575151483,rs76908629,rs8034380,rs8034493,rs8035569,rs8035595
mh15USC-15qD	rs1816771,rs4965040,rs5007156,rs74033914
mh16KK-049	rs12929083,rs17670098,rs17670111,rs9926495,rs9937467
mh16AT-33	rs17670098,rs17670111,rs9937467
mh16KKCS-302	rs1395579,rs1395580,rs1395581,rs1395582,rs1507022,rs377520498,rs9939248
mh16KK-302	rs1395579,rs1395580,rs1395582,rs9939248
mh16CP-001	rs2270288,rs2270289,rs737694,rs737695,rs78352097
mh16USC-16pA	rs1035113,rs11649432,rs12325411,rs74787028
mh16ZHA-003	rs16960309,rs6498348,rs8052581
mh16ZHA-004	rs34771585,rs4781308,rs4781311,rs72638292
mh16USC-16pB	rs6497733,rs7190328
mh16SHY-001	rs146510381,rs183836696,rs187952050,rs190914918,rs199559351,rs4788433,rs534287090,rs575614166,rs71391580,rs79080004,rs80257253
mh16KK-053	rs11150606,rs201075024
mh16ZBF-001	rs2278489,rs2278490
mh16USC-16qA	rs1593165,rs6500175,rs6500176
mh16SHY-002	rs187659623,rs34228296,rs527908364,rs543029168,rs546284651,rs555387708,rs55957305,rs564555804,rs568480890,rs575024559,rs727013,rs727014,rs727015,rs75261340
mh16ZHA-006	rs12922936,rs2914455,rs2966051
mh16PK-83362	rs12930975,rs1651904,rs1677306,rs1677307,rs2464765,rs3109096,rs4350582,rs540646383
mh16KK-255	rs16956011,rs3934955,rs3934956,rs4073828
mh16AT-34	rs3934956,rs3934957,rs62044947
mh16USC-16qB	rs7197719,rs7197894,rs7202873
mh16KKCS-011	rs188060999,rs390112,rs390379,rs422842,rs426580,rs441199,rs7190826,rs74957131,rs76460635
mh16PK-83483	rs12596608,rs376039413,rs534790082,rs72808635,rs8054060,rs8054367,rs8055359,rs8055512,rs8055517
mh16PK-83544	rs528179479,rs66509440,rs66804793,rs74032085,rs9925859,rs9929895
mh16SHY-003	rs112664490,rs144321744,rs151158400,rs188692301,rs191040373,rs34144808,rs34981173,rs370583180,rs529712930,rs537765279,rs540873576,rs548137101,rs549110394,rs553448324,rs555904704,rs560524304,rs577400659,rs60237731,rs74035740,rs9932071
mh16ZHA-009	rs11641186,rs11641193,rs76047588,rs80213582
mh16KK-061	rs4559917,rs6540049
mh16KK-062	rs28485311,rs28503604,rs8055777
mh16KK-096	rs1805007,rs885479
mh17ZHA-001	rs4131415,rs4260117,rs56023444
mh17CP-002	rs3752962,rs3752963,rs903164
mh17USC-17pA	rs4995288,rs4995289,rs9904113
mh17KK-014	rs11657785,rs333113,rs8074965
mh17CP-001	rs36040276,rs4792125,rs62063465
mh17ZBF-001	rs11078089,rs12449382,rs141749783
mh17CP-006	rs2215237,rs62069897,rs9897281
mh17CP-005	rs12450979,rs12451902,rs12951414
mh17USC-17qA	rs28944193,rs28944195,rs28944196,rs9895831
mh17KK-052	rs1059504,rs8327
mh17KK-076	rs241027,rs528912185
mh17KK-077	rs4074461,rs4074462
mh17KK-105	rs1052553,rs11568305,rs17652121
mh17KK-053	rs3760370,rs3760371
mh17KK-054	rs2233362,rs634370
mh17AT-35	rs2233362,rs634370
mh17USC-17qB	rs62060135,rs67078965,rs8082481
mh17KK-272	rs16955257,rs2934897,rs7207239,rs7212184
mh17AT-36	rs2934897,rs7207239
mh17KK-110	rs8075367,rs9908046
mh17KK-055	rs11868709,rs9907137
mh17KKCS-278	rs11150747,rs4969266,rs7224758,rs7225755,rs72852775
mh17USC-17qC	rs2138119,rs2271610,rs2271611,rs2271612
mh18SHY-001	rs111823641,rs12963225,rs12963608,rs13381301,rs13381738,rs142346539,rs147655137,rs191398969,rs555420036,rs575625363,rs577966376
mh18PK-87558	rs28612163,rs28695806,rs62081065,rs62081066,rs9947384,rs9962474
mh18USC-18pA	rs12964283,rs12965396,rs12969830,rs59300933,rs67226605
mh18CP-005	rs595107,rs62085085,rs690302,rs77849214
mh18ZBF-002	rs112321814,rs112366023,rs602785,rs9947941
mh18ZHA-004	rs11660240,rs2135869,rs2870160,rs3971538
mh18KK-285	rs16940823,rs17187688,rs17187695,rs1945150
mh18AT-38	rs17187688,rs17187695,rs1945150
mh18CP-003	rs12970683,rs58533252,rs78549053
mh18ZBF-001	rs557576,rs7241559
mh18USC-18qA	rs2420207,rs2420208,rs72924570
mh18ZHA-005	rs3892875,rs76519339,rs877630
mh18USC-18qB	rs11872713,rs7504773,rs9807185
mh18USC-18qC	rs4525598,rs4556892,rs7240472,rs72942150
mh18SHY-002	rs1012544,rs1039719,rs12456514,rs138204536,rs142312951,rs146125021,rs2660815,rs556161747,rs558518168,rs572194969,rs8094771
mh18KK-293	rs621320,rs621340,rs621766,rs678179
mh18AT-39	rs621320,rs621340,rs621766,rs678179
mh19USC-19pA	rs62132586,rs62132587,rs76360971
mh19KK-056	rs1055919,rs2271057
mh19SHY-001	rs10415518,rs12981234,rs139634066,rs539091249,rs544103337,rs72558013,rs8110107,rs8110128
mh19CP-007	rs10417429,rs10417450,rs34190726
mh19USC-19pB	rs35657068,rs73004896,rs7508128,rs7508161,rs7508172
mh19ZHA-006	rs10422309,rs10422326,rs10422340,rs118026388,rs201266999,rs75130051
mh19NH-23	rs387315,rs408312,rs423926
mh19KK-299	rs12985452,rs2361019,rs2860462,rs4932769,rs4932999
mh19AT-47	rs12985452,rs4932769,rs4932999
mh19ZHA-007	rs10406130,rs59490836,rs8102417,rs8106726
mh19USC-19qA	rs10419866,rs10420798,rs11672621,rs12978036
mh19KK-301	rs10408037,rs10408594,rs11084040,rs8104441
mh19KK-057	rs12462026,rs17717333,rs7250849
mh19ZHA-009	rs2560950,rs74178308,rs8107824,rs8108729,rs8108835
mh19USC-19qB	rs10404533,rs10404915,rs62144099
mh19SHY-002	rs138651646,rs186966187,rs2902749,rs310469,rs547418943,rs570127052,rs58442350,rs7251733,rs77641142
mh20KKCS-306	rs1014897,rs1014898,rs11697918,rs533194,rs6086446
mh20KK-035	rs13044611,rs6136957
mh20SHY-001	rs13041705,rs138964341,rs535052216,rs569932515,rs6052330,rs6052331,rs6076614,rs6084612,rs6084613,rs78855665
mh20LV-04	rs113848476,rs13044057,rs138378230,rs138414706,rs138853749,rs140581511,rs141768575,rs142296722,rs143313202,rs145820871,rs149135147,rs149732937,rs150690612,rs181527219,rs186651742,rs4813768,rs527884395,rs528057415,rs528885505,rs533741700,rs540869184,rs542536982,rs543634562,rs543931580,rs545511656,rs550338643,rs550791580,rs551503397,rs551826613,rs551919440,rs555969338,rs557106700,rs55780783,rs558478033,rs559337296,rs562310657,rs563424302,rs566893718,rs568257864,rs573236120,rs6038238,rs6053586,rs6053587,rs6053588,rs6053589,rs62205296,rs6516062,rs73596121,rs77752287
mh20USC-20pA	rs4374436,rs6077431,rs6077432,rs724110
mh20SHY-002	rs115968966,rs146601764,rs146885959,rs2327603,rs2327604,rs2327605,rs2876290,rs4583533,rs542294535,rs553636147,rs566861928,rs569243589
mh20KK-307	rs16997830,rs17674942,rs6044080,rs6044081
mh20AT-40	rs17674942,rs6044080,rs6044081
mh20USC-20pB	rs6076024,rs844829,rs844830
mh20NH-24	rs2295561,rs2295562,rs2295563
mh20NH-25	rs2208284,rs2295565,rs2295566
mh20USC-20qA	rs34641114,rs4435517,rs4474941
mh20NH-26	rs2070638,rs2070639,rs2070640
mh20ZBF-001	rs2741640,rs3092307
mh20KKCS-058	rs4811008,rs4811009,rs6012881,rs6020381,rs6095836,rs6122890,rs73121345
mh20KK-058	rs6012881,rs6095836,rs6122890
mh20KK-059	rs10854214,rs10854215
mh20USC-20qB	rs28971537,rs72629020,rs28970291,rs74898010
mh20KK-016	rs13036739,rs310650,rs310651,rs310652,rs310653
mh21USC-21qA	rs2822743,rs2822744,rs2822745,rs4817235
mh21KKCS-315	rs6517970,rs6517971,rs76016088,rs8126597,rs8131148
mh21KK-315	rs6517971,rs8126597,rs8131148
mh21AT-41	rs6517971,rs8131148
mh21KK-316	rs17002090,rs2830208,rs961301,rs961302
mh21USC-21qB	rs2256553,rs2410066,rs78598734
mh21PK-MX1s	rs112657409,rs2838038,rs456298,rs462574
mh21KKCS-320	rs114395414,rs2838081,rs2838082,rs2838083,rs370194397,rs75885188,rs78902658
mh21KK-320	rs2838081,rs2838082,rs2838083,rs78902658
mh21AT-43	rs2838081,rs2838082
mh21KK-313	rs6586324,rs6586325,rs6586326
mh21KKCS-324	rs2838868,rs6518223,rs7279250,rs7282557,rs80278660,rs8133697
mh21KK-324	rs2838868,rs6518223,rs7279250,rs8133697
mh21AT-44	rs2838868,rs7279250
mh22ZHA-003	rs4819514,rs4819804,rs5748271
mh22KK-303	rs4633,rs6267,rs740602,rs76452330
mh22KK-060	rs4680,rs4818
mh22AT-45	rs4680,rs4818,rs8192488
mh22ZBF-001	rs2073916,rs2330188,rs2330189,rs2877079
mh22NH-27	rs3788339,rs3788340,rs3788341
mh22USC-22qA	rs2283869,rs2283870,rs4820845,rs4820846
mh22KK-064	rs136177,rs60910145,rs143830837,rs73885319
mh22KK-069	rs2235845,rs8137373
mh22KK-061	rs5764924,rs763040,rs763041
mh22AT-46	rs5764924,rs763040
mh22KKCS-340	rs4925399,rs4925400,rs4925401,rs4925431,rs4925432,rs77899570,rs79558241,rs9628590
mh22USC-22qB	rs4925399,rs4925400,rs4925431,rs4925432,rs77899570
mh22ZHA-008	rs11568183,rs8136173,rs8142282
mh0XUSC-XpA	rs5916064,rs5961714,rs9306757
mh0XUSC-XpB	rs6640934,rs722801,rs722802
mh0XUSC-XpC	rs1395980,rs1395981,rs17275740,rs17320573
mh0XUSC-XqA	rs116209949,rs5981076
mh0XUSC-XqB	rs111828895,rs112127038,rs5959600
mh0XUSC-XqC	rs1118914,rs5967719,rs5968890
mh0XUSC-XqE	rs112509385,rs12393663
mh0XUSC-XqF	rs5910800,rs5957332
mh0XUSC-XqG	rs5931396,rs6528537,rs6528538
mh0XUSC-XqH	rs2105950,rs2157571,rs2157572
