Marker	Extent	Ae	Repeats
mh08SCUZJ-0170499	272	4.849	LINE>L1>L1PA2[chr8:15555981-15562028]
mh08SCUZJ-0190805	285	6.034	LINE>L1>L1M3de[chr8:18336161-18336827]
mh08SCUZJ-0214057	319	4.771	LTR>ERVL>MER21-int[chr8:23099260-23100145]
mh08SCUZJ-0288801	285	1.705	LINE>L1>L1PB1[chr8:54494483-54494576]
mh08SCUZJ-0302028	278	4.502	SINE>Alu>AluY[chr8:58253414-58253700]
mh08SCUZJ-0315353	272	3.28	LINE>L1>L1PA7[chr8:62237525-62238882];LINE>L1>L1PA7[chr8:62238911-62242689]
mh08SCUZJ-0351536	322	1.52	LINE>L1>L1PA17[chr8:77606067-77606513]
mh08SCUZJ-0358922	242	5.361	LTR>ERV1>MER4A[chr8:81594818-81595205];SINE>Alu>AluY[chr8:81595205-81595502]
mh08SCUZJ-0386847	47	3.518	SINE>Alu>AluSq[chr8:93290626-93290935]
mh08SCUZJ-0474234	341	4.635	SINE>Alu>AluY[chr8:127952770-127953063]
mh08SCUZJ-0476324	275	3.146	LINE>L2>L2a[chr8:128296973-128298132]
mh08SCUZJ-0484105	268	3.118	SINE>Alu>AluSx3[chr8:130676210-130676474]
mh08SCUZJ-0497299	299	4.825	LTR>ERVL-MaLR>MLT1B[chr8:134293268-134293657]
mh08SCUZJ-0518295	324	7.141	LTR>ERVL-MaLR>THE1B[chr8:139575854-139576181];LINE>L1>L1MC3[chr8:139576181-139577538]
mh08SCUZJ-0538280.v1	350	14.58	LTR>ERVK>LTR5A[chr8:145021243-145022259]
mh08SCUZJ-0538280.v2	187	5.491	LTR>ERVK>LTR5A[chr8:145021243-145022259]
mh08SHY-001	193	3.338	LINE>L1>L1M4[chr8:5578000-5578124]
mh08SHY-003	186	3.764	LTR>ERVL-MaLR>MLT1C[chr8:40949634-40950063]
mh08SHY-005	176	4.481	LINE>L1>L1MB8[chr8:69715801-69716775]
mh08SHY-006	167	3.479	LTR>ERVL-MaLR>THE1A[chr8:101543792-101544145]
mh08WL-053.v2	340	7.663	SINE>Alu>AluSc8[chr8:386828-387140]
mh08ZHA-009	233	3.101	LINE>L1>HAL1b[chr8:5939299-5939760]
mh09HYP-24	63	2.158	LINE>L2>L2a[chr9:2940776-2942227]
mh09LV-02.v1	343	27.969	LTR>ERVK>LTR5A[chr9:126716511-126717527]
mh09LV-02.v2	239	17.995	LTR>ERVK>LTR5A[chr9:126716511-126717527]
mh09LW-25	70	2.731	LINE>L1>L1PA13[chr9:565869-567315]
mh09SCUZJ-0035837	350	14.469	SINE>Alu>AluSc5[chr9:5525766-5526063];LINE>L1>L1ME3F[chr9:5526063-5526252]
mh09SCUZJ-0042152	311	1.12	LINE>L2>L2c[chr9:7195182-7195633]
mh09SCUZJ-0052579	313	2.61	SINE>Alu>AluSx[chr9:8598202-8598462]
mh09SCUZJ-0066821	331	3.498	LINE>L1>L1MA3[chr9:10506439-10506624];LINE>L1>L1MC4a[chr9:10506624-10506914]
mh09SCUZJ-0076471	199	6.668	SINE>Alu>AluY[chr9:12356349-12356657]
mh09SCUZJ-0092358	135	4.479	LINE>L2>L2a[chr9:16659291-16659332];SINE>Alu>AluSc5[chr9:16659332-16659625]
mh09SCUZJ-0161170	331	3.171	LINE>L1>L1P2[chr9:32098543-32104174]
mh09SCUZJ-0172993	275	7.607	SINE>Alu>AluSx4[chr9:36863828-36864108]
mh09SCUZJ-0210996	184	3.245	SINE>Alu>AluSx[chr9:78554710-78555009]
mh09SCUZJ-0251127	338	7.305	LTR>ERV1>HERVE-int[chr9:90755223-90759266]
mh09SCUZJ-0262890	348	3.876	LINE>L1>L1M4b[chr9:93846877-93848547]
mh09SCUZJ-0291476	337	6.018	SINE>Alu>AluSc[chr9:102672344-102672634]
mh09SCUZJ-0302180	330	5.248	SINE>Alu>AluSc[chr9:104784660-104784943]
mh09SCUZJ-0327434	178	3.88	SINE>Alu>AluSx1[chr9:112176218-112176495]
mh09SCUZJ-0343150	249	3.708	LINE>L1>L1PA5[chr9:116612164-116615887]
mh09SCUZJ-0382505	192	3.667	SINE>Alu>AluY[chr9:132335108-132335416]
mh09SCUZJ-0387742	310	10.739	LINE>L1>L1M6[chr9:133621302-133621396];SINE>Alu>AluY[chr9:133621396-133621714]
mh09SCUZJ-0401275	332	4.602	SINE>Alu>AluY[chr9:136102830-136103128];SINE>Alu>AluY[chr9:136103130-136103262]
mh09ZHA-004	327	2.666	SINE>Alu>AluSp[chr9:88035406-88035711]
mh09ZHA-008	155	2.93	LINE>L1>L1PA6[chr9:113171848-113172509]
mh10FHL-001	206	8.942	SINE>Alu>AluY[chr10:6606606-6606914]
mh10FHL-007	103	2.941	LINE>L1>L1MC5[chr10:130248348-130248765]
mh10LV-03.v1	325	25.493	SINE>Alu>AluSz[chr10:16674771-16675057]
mh10LV-03.v2	317	10.976	SINE>Alu>AluSz[chr10:16674771-16675057]
mh10SCUZJ-0003737	214	9.957	SINE>Alu>AluY[chr10:1126123-1126423]
mh10SCUZJ-0011512	312	3.602	LINE>L2>L2[chr10:2050831-2051106]
mh10SCUZJ-0020886	159	7.604	SINE>Alu>AluY[chr10:3184395-3184690]
mh10SCUZJ-0041521	300	1.002	SINE>Alu>AluY[chr10:6210883-6211005]
mh10SCUZJ-0045763	37	3.267	LTR>ERVL-MaLR>THE1B[chr10:6964155-6964513]
mh10SCUZJ-0047404	335	5.425	SINE>Alu>AluY[chr10:7519932-7520237]
mh10SCUZJ-0065487	152	4.225	SINE>Alu>AluY[chr10:12118380-12118681]
mh10SCUZJ-0066625	318	5.925	SINE>Alu>AluSx1[chr10:12302088-12302377];SINE>Alu>AluYk3[chr10:12302387-12302702]
mh10SCUZJ-0082196	261	3.461	LTR>ERVL-MaLR>THE1A[chr10:14451475-14451835];LINE>L1>L1M3[chr10:14451835-14451856]
mh10SCUZJ-0091878	316	4.205	SINE>Alu>AluY[chr10:16508056-16508367]
mh10SCUZJ-0099293	316	4.189	SINE>Alu>AluSx[chr10:18217201-18217510];LINE>L2>L2a[chr10:18217510-18217838]
mh10SCUZJ-0122574	272	6.267	SINE>Alu>AluSg[chr10:24404286-24404593];LINE>L1>L1MD2[chr10:24404593-24405314]
mh10SCUZJ-0143911	182	5.455	SINE>Alu>AluY[chr10:28362028-28362350]
mh10SCUZJ-0149820	257	6.733	LTR>ERV1>MER83[chr10:29384669-29385099]
mh10SCUZJ-0151424	224	4.771	SINE>Alu>AluSx[chr10:29711493-29711778]
mh10SCUZJ-0155992	349	14.671	LTR>ERV1>MER83[chr10:30592704-30593135]
mh10SCUZJ-0204710.v1	268	6.936	LTR>ERV1>MER101-int[chr10:46259960-46260157];SINE>Alu>AluY[chr10:46260157-46260435]
mh10SCUZJ-0204710.v2	68	4.565	SINE>Alu>AluY[chr10:46260157-46260435]
mh10SCUZJ-0206566	156	2.038	LTR>ERVL>MLT2B4[chr10:47201360-47201857]
mh10SCUZJ-0255190	259	8.661	SINE>Alu>AluY[chr10:60250358-60250664]
mh10SCUZJ-0281402	300	1.611	LINE>L1>L1PA3[chr10:67576556-67578996]
mh10SCUZJ-0290121	341	3.256	LTR>ERVL-MaLR>THE1B[chr10:70286772-70287136]
mh10SCUZJ-0318800	240	3.476	SINE>Alu>AluY[chr10:80677935-80678233]
mh10SCUZJ-0366546.v1	348	7.161	LTR>ERVK>LTR5A[chr10:96403266-96404268]
mh10SCUZJ-0366546.v2	114	2.722	LTR>ERVK>LTR5A[chr10:96403266-96404268]
mh10SCUZJ-0378284.v1	141	3.367	SINE>Alu>AluY[chr10:102173441-102173756]
mh10SCUZJ-0378284.v2	72	3.351	SINE>Alu>AluY[chr10:102173441-102173756]
mh10SCUZJ-0380360	265	7.583	SINE>Alu>AluYm1[chr10:103533536-103533835]
mh10SCUZJ-0387827	256	2.629	LINE>L1>L1PA2[chr10:106844583-106850610]
mh10SCUZJ-0417848	320	9.721	LINE>L1>HAL1[chr10:117259399-117260103];LINE>L1>HAL1[chr10:117260205-117260621]
mh10SCUZJ-0434622	308	3.038	SINE>Alu>AluY[chr10:121745434-121745746]
mh10SCUZJ-0450180	325	4.222	SINE>Alu>AluSx1[chr10:124880132-124880432]
mh10SCUZJ-0475575	334	5.523	SINE>Alu>AluSc[chr10:130397585-130397895];LTR>ERVL-MaLR>THE1A[chr10:130397895-130398036]
mh10SHY-002.v3	324	7.27	LINE>L2>L2b[chr10:98321492-98321843]
mh10WL-001.v2	325	12.143	SINE>Alu>AluY[chr10:124546393-124546706]
mh10WL-018.v2	238	4.499	SINE>Alu>AluJb[chr10:111210295-111210567]
mh11CP-003	23	3.41	LINE>L1>L1PB4[chr11:5854327-5854846]
mh11CP-004	26	2.331	LTR>ERVL>MER21C[chr11:21063146-21063669]
mh11FHL-007	194	5.528	SINE>Alu>AluY[chr11:119308971-119309270]
mh11KK-090	13	1.596	LINE>L2>L2c[chr11:113425047-113425711]
mh11KK-103	262	2.575	LTR>ERVL>MER74B[chr11:113418439-113419037]
mh11KK-190	224	4.911	LTR>ERVL>MER70A[chr11:97305469-97305923]
mh11SCUZJ-0001016	133	1.0	SINE>Alu>AluY[chr11:321227-321340]
mh11SCUZJ-0001330	348	4.57	SINE>Alu>AluYe6[chr11:351828-352133];LTR>ERV1>MER41A[chr11:352133-352592]
mh11SCUZJ-0044157	346	4.943	SINE>MIR>MIR[chr11:7416227-7416467]
mh11SCUZJ-0062178	254	6.028	LINE>L1>L1MA9[chr11:12054534-12054973]
mh11SCUZJ-0078959	278	8.532	SINE>Alu>AluSc8[chr11:18692143-18692448]
mh11SCUZJ-0200688	305	4.308	LINE>L1>L1PA2[chr11:55459916-55465937]
mh11SCUZJ-0215793	302	3.648	LTR>ERV1>LTR28C[chr11:60360192-60361328]
mh11SCUZJ-0227031	285	2.78	SINE>Alu>AluY[chr11:65980635-65980935]
mh11SCUZJ-0232565	300	7.386	LTR>ERVK>LTR5A[chr11:67968247-67969277]
mh11SCUZJ-0244173	307	3.432	LTR>ERVL-MaLR>MLT1B[chr11:71342405-71342491];SINE>Alu>AluJb[chr11:71342491-71342797]
mh11SCUZJ-0251040	336	1.0	SINE>Alu>AluSp[chr11:72201874-72202163]
mh11SCUZJ-0280400	251	3.968	LINE>CR1>L3[chr11:83880906-83881005]
mh11SCUZJ-0334147	246	4.037	SINE>Alu>AluY[chr11:99991185-99991467]
mh11SCUZJ-0363448	282	4.006	LINE>L2>L2a[chr11:109994524-109994896];LINE>L1>L1MEj[chr11:109995045-109996814]
mh11SCUZJ-0402779	233	13.41	LTR>ERVK>LTR5A[chr11:123279702-123280710]
mh11SCUZJ-0413561.v1	256	5.17	SINE>Alu>AluSg[chr11:125923985-125924274]
mh11SCUZJ-0413561.v2	342	5.17	SINE>Alu>AluSg[chr11:125923985-125924274]
mh11SCUZJ-0422708	198	4.984	LINE>L1>L1MC1[chr11:129086023-129086539];SINE>Alu>AluY[chr11:129086539-129086838]
mh11SCUZJ-0428324	293	2.9	LINE>CR1>L3[chr11:130888179-130889323]
mh12SCUZJ-0000863	213	4.603	SINE>Alu>AluY[chr12:200103-200406]
mh12SCUZJ-0004616	260	5.11	SINE>Alu>AluSg[chr12:965693-965982]
mh12SCUZJ-0091823	292	7.04	SINE>Alu>AluY[chr12:24943702-24944003]
mh12SCUZJ-0109036	299	3.165	SINE>Alu>AluSx1[chr12:29254669-29254966];LTR>ERVL-MaLR>MLT1B[chr12:29255066-29255467]
mh12SCUZJ-0127578	335	4.096	SINE>Alu>AluYj4[chr12:32046227-32046243];SINE>Alu>AluYj4[chr12:32046271-32046557]
mh12SCUZJ-0169431	35	3.089	SINE>Alu>AluSx1[chr12:45443169-45443312]
mh12SCUZJ-0181516	166	6.692	SINE>Alu>AluSc8[chr12:49981552-49981841]
mh12SCUZJ-0212703	271	4.746	LINE>L1>L1MDa[chr12:61073092-61074792]
mh12SCUZJ-0223636.v1	236	5.672	LTR>ERVL-MaLR>THE1B[chr12:63746488-63746844]
mh12SCUZJ-0223636.v2	257	5.03	LTR>ERVL-MaLR>THE1B[chr12:63746488-63746844]
mh12SCUZJ-0223636.v3	68	4.857	LTR>ERVL-MaLR>THE1B[chr12:63746488-63746844]
mh12SCUZJ-0234264	343	4.605	LINE>L2>L2a[chr12:69041838-69041897];SINE>Alu>AluJr[chr12:69041897-69042201]
mh12SCUZJ-0253825	177	2.963	SINE>Alu>AluSz[chr12:76223312-76223593]
mh12SCUZJ-0285704	319	7.249	LTR>ERVL>MER70-int[chr12:90398928-90399629]
mh12SCUZJ-0308915	336	12.688	LINE>L1>L1PA16[chr12:97397632-97397820];SINE>Alu>AluJo[chr12:97397984-97398312]
mh12SCUZJ-0326486.v1	286	2.934	SINE>Alu>AluSz[chr12:104452859-104453158]
mh12SCUZJ-0326486.v2	282	3.406	SINE>Alu>AluSz[chr12:104452859-104453158]
mh12SCUZJ-0345285	195	1.923	SINE>Alu>AluJo[chr12:112713102-112713230]
mh12SCUZJ-0347622	322	4.476	SINE>Alu>AluYg6[chr12:113607795-113608103]
mh12SCUZJ-0364164	92	4.512	SINE>Alu>AluY[chr12:117739073-117739359]
mh12SCUZJ-0374276	339	3.704	SINE>Alu>AluY[chr12:121446113-121446405]
mh12SCUZJ-0382800	336	6.532	LTR>ERVL-MaLR>MLT1D[chr12:124832826-124833193]
mh12SCUZJ-0396248	320	5.221	LINE>L1>L1PB4[chr12:127787846-127788155];SINE>Alu>AluSx3[chr12:127788155-127788459]
mh12SCUZJ-0429356.v1	341	2.869	LINE>L1>L1MD2[chr12:132759288-132759507]
mh12ZHA-008	423	3.242	LTR>ERV1>MER61-int[chr12:83827999-83828990]
mh13CP-008	32	2.848	LINE>L1>L1PA4[chr13:24342490-24347980]
mh13CP-010	33	2.871	SINE>Alu>AluJr[chr13:29217835-29218158]
mh13LV-10.v1	194	10.385	SINE>Alu>AluSg[chr13:70291856-70292166]
mh13LV-10.v2	293	11.111	SINE>Alu>AluSg[chr13:70291856-70292166]
mh13LW-33	76	3.663	LINE>L1>L1PB1[chr13:80577346-80582407]
mh13SCUZJ-0013697	309	4.66	LINE>L1>L1MB2[chr13:21115453-21115650]
mh13SCUZJ-0036837	297	5.395	SINE>Alu>AluY[chr13:24661258-24661560]
mh13SCUZJ-0045733	256	9.643	SINE>Alu>AluY[chr13:26484894-26485205]
mh13SCUZJ-0049124	323	2.756	SINE>Alu>AluSz6[chr13:27608795-27609092];SINE>Alu>AluSx[chr13:27609148-27609455]
mh13SCUZJ-0064820	239	4.422	SINE>Alu>AluY[chr13:32274425-32274729]
mh13SCUZJ-0098743	225	9.077	SINE>Alu>AluY[chr13:43120326-43120631]
mh13SCUZJ-0115873	86	4.681	SINE>Alu>AluSz[chr13:49538877-49539164]
mh13SCUZJ-0205653	349	8.912	LINE>L1>L1MDa[chr13:80707168-80707819]
mh13SCUZJ-0227626.v1	329	4.559	LTR>ERV1>HERVH-int[chr13:86361942-86362447];LTR>ERV1>HERVH-int[chr13:86362449-86363109]
mh13SCUZJ-0227626.v2	289	4.559	LTR>ERV1>HERVH-int[chr13:86362449-86363109]
mh13SCUZJ-0255446.v1	328	6.919	SINE>Alu>AluSq2[chr13:95335442-95335748]
mh13SCUZJ-0255446.v2	180	4.736	SINE>Alu>AluSq2[chr13:95335442-95335748]
mh13SCUZJ-0285465	275	4.027	SINE>Alu>AluY[chr13:104356302-104356612]
mh13SCUZJ-0297911	301	6.396	LTR>ERVL-MaLR>MLT1C[chr13:107362259-107362704]
mh13SCUZJ-0312967	167	4.629	SINE>Alu>AluY[chr13:110452120-110452461]
mh13SCUZJ-0333799	190	4.146	LTR>ERVK>LTR5A[chr13:114181910-114182938]
mh13ZHA-002	221	3.809	LTR>ERVL-MaLR>THE1D[chr13:102477985-102478360]
mh14CP-003	36	3.258	LINE>L1>L1MA2[chr14:32685754-32686595]
mh14CP-004	43	2.909	LINE>L1>L1PA7[chr14:38975192-38981648]
mh14KK-101	96	1.754	LINE>L1>L1MEh[chr14:105542670-105543341]
mh14LW-36	71	2.794	LTR>ERVL-MaLR>THE1A[chr14:41312657-41313012]
mh14SCUZJ-0004208	312	11.719	LTR>ERVK>LTR5A[chr14:20241555-20242578]
mh14SCUZJ-0022925	177	5.404	SINE>Alu>AluY[chr14:24158754-24159059]
mh14SCUZJ-0040957.v1	195	6.777	SINE>Alu>AluY[chr14:31073209-31073503]
mh14SCUZJ-0040957.v2	319	11.64	SINE>Alu>AluY[chr14:31073209-31073503]
mh14SCUZJ-0072608	340	3.546	LINE>L1>L1PA17[chr14:41031269-41033343]
mh14SCUZJ-0080108	269	3.755	LINE>L1>L1PA3[chr14:42910048-42910900]
mh14SCUZJ-0080546	304	4.799	LINE>L1>L1PA3[chr14:42967511-42973555]
mh14SCUZJ-0105332.v1	249	6.172	SINE>Alu>AluYk3[chr14:50853147-50853454]
mh14SCUZJ-0105332.v2	332	8.124	SINE>Alu>AluYk3[chr14:50853147-50853454]
mh14SCUZJ-0167395	245	1.758	SINE>Alu>AluYc[chr14:72980584-72980855]
mh14SCUZJ-0187337	275	2.353	LINE>L1>L1MC5[chr14:80053017-80053052];LINE>L1>L1MC5[chr14:80053101-80053270];LINE>L1>L1MC5[chr14:80053299-80053550]
mh14SCUZJ-0215156	280	3.754	LTR>ERVL-MaLR>MLT1C[chr14:88945579-88946003]
mh14SCUZJ-0229993	295	1.593	SINE>Alu>AluSx1[chr14:93146788-93147094]
mh14SCUZJ-0250160	329	7.954	SINE>Alu>AluY[chr14:97799023-97799330];LINE>L1>L1MA7[chr14:97799479-97799619]
mh14SCUZJ-0253455	150	3.182	SINE>Alu>AluSc8[chr14:98350900-98351191]
mh14SCUZJ-0275315	329	5.222	LINE>L1>L1MA4A[chr14:104918646-104918949];LTR>ERV1>LTR71B[chr14:104918949-104919548]
mh14SHY-001	183	4.329	LINE>L1>L1P4[chr14:38931680-38931768];LINE>L1>L1PA16[chr14:38931761-38934159]
mh14WL-005.v2	260	3.956	LINE>L1>L1MB7[chr14:92467905-92468853]
mh14WL-032	233	3.552	LINE>RTE-BovB>MamRTE1[chr14:30773307-30773870]
mh14ZHA-003	8	2.397	LTR>ERVL>MLT2B1[chr14:71785056-71785561]
mh15CP-003	44	2.035	LINE>L1>L1MC4[chr15:47830899-47831306]
mh15LW-39	80	3.5	LTR>ERVL-MaLR>MLT1A[chr15:61400164-61400474]
mh15PK-75170	67	2.173	LTR>ERV1>LTR12_[chr15:24801999-24802597]
mh15SCUZJ-0008964	348	6.685	LINE>L1>L1MD3[chr15:24173517-24173667]
mh15SCUZJ-0026421	234	2.891	LINE>L1>L1PA10[chr15:26150896-26155895]
mh15SCUZJ-0051888	342	10.63	LINE>L1>L1MA2[chr15:34121638-34121725];LTR>ERV1>LTR2B[chr15:34121725-34122182]
mh15SCUZJ-0094561	329	10.932	SINE>Alu>AluSc8[chr15:51355511-51355822];LTR>ERV1>MER41B[chr15:51355822-51355926];SINE>Alu>AluSc8[chr15:51355926-51356223]
mh15SCUZJ-0124652	268	4.167	LINE>CR1>L3[chr15:58500364-58501055]
mh15SCUZJ-0170974	152	4.023	SINE>Alu>AluY[chr15:77861145-77861455]
mh15SCUZJ-0181927	305	4.406	LINE>L1>L1PA3[chr15:79710987-79713867]
mh15SCUZJ-0204760.v1	273	12.252	LTR>ERVL-MaLR>THE1B[chr15:87161061-87161426];SINE>Alu>AluJr4[chr15:87161447-87161754]
mh15SCUZJ-0204760.v2	240	7.466	LTR>ERVL-MaLR>THE1B[chr15:87161061-87161426];SINE>Alu>AluJr4[chr15:87161447-87161754]
mh15SCUZJ-0216291	291	3.479	LTR>ERVK>LTR5A[chr15:90346560-90347586]
mh15SCUZJ-0230315	301	2.707	SINE>Alu>AluY[chr15:93345565-93345874]
mh15SCUZJ-0231729	329	7.836	LINE>L1>L1MEd[chr15:93447931-93448207];SINE>Alu>AluY[chr15:93448207-93448511]
mh15SCUZJ-0236854	340	5.34	LTR>ERVL-MaLR>THE1B[chr15:94502294-94502486];LINE>L1>L1MC5[chr15:94502500-94502983]
mh15SCUZJ-0244385	217	3.814	LTR>ERV1>HERVH-int[chr15:96872685-96872903]
mh15SCUZJ-0251770.v1	201	12.515	SINE>Alu>AluY[chr15:98328027-98328326]
mh15SCUZJ-0251770.v2	133	6.098	SINE>Alu>AluY[chr15:98328027-98328326]
mh15SCUZJ-0255931.v1	249	9.384	SINE>Alu>AluYa5[chr15:99387060-99387359]
mh15SCUZJ-0255931.v2	101	5.818	SINE>Alu>AluYa5[chr15:99387060-99387359]
mh15SCUZJ-0267777	242	15.363	SINE>Alu>AluY[chr15:100789738-100790039]
mh15ZBF-001	78	1.949	LINE>L1>L1MC4a[chr15:37387957-37388439]
mh16KK-255.v1	143	3.709	LINE>L1>L1ME4b[chr16:81936862-81937375]
mh16KK-255.v2	144	3.96	LINE>L1>L1ME4b[chr16:81936862-81937375]
mh16KK-255.v3	193	3.994	LINE>L1>L1ME4b[chr16:81936862-81937375]
mh16LW-40	64	2.574	SINE>Alu>AluSx[chr16:13003576-13003859];SINE>Alu>AluSx[chr16:13003891-13003909]
mh16PK-83362	50	2.307	LTR>ERV1>LTR1A1[chr16:77998732-77999535]
mh16SCUZJ-0001338	345	4.631	SINE>Alu>AluY[chr16:385310-385610];SINE>Alu>AluY[chr16:385618-385923]
mh16SCUZJ-0020639	315	5.298	SINE>Alu>AluY[chr16:4706221-4706536]
mh16SCUZJ-0054196.v1	322	7.816	LTR>ERV1>HERVH-int[chr16:7818232-7818735]
mh16SCUZJ-0054196.v2	59	4.507	LTR>ERV1>HERVH-int[chr16:7818232-7818735]
mh16SCUZJ-0073152	267	4.236	SINE>Alu>AluSp[chr16:10335960-10336263]
mh16SCUZJ-0076203	336	5.347	LTR>ERVK>LTR5A[chr16:10829448-10830485]
mh16SCUZJ-0095877	316	9.216	SINE>Alu>AluSx[chr16:13196811-13197091]
mh16SCUZJ-0109918	346	4.979	SINE>Alu>AluJb[chr16:19381981-19382275]
mh16SCUZJ-0113007	211	6.546	SINE>Alu>AluSq2[chr16:20403279-20403588]
mh16SCUZJ-0162779	286	1.206	LTR>ERVL>MER74A[chr16:55761291-55761767]
mh16SCUZJ-0168034	331	4.547	LINE>L1>L1ME4b[chr16:56992882-56993133];LINE>L1>L1MC4a[chr16:56993117-56993834]
mh16SCUZJ-0177628	323	3.7	LINE>L1>L1PA3[chr16:58977510-58983531]
mh16SCUZJ-0181739	77	2.889	LINE>L1>L1PB4[chr16:60017990-60020813]
mh16SCUZJ-0187537	322	10.304	LINE>L1>L1MA9[chr16:62329722-62330559]
mh16SCUZJ-0206613	336	3.554	SINE>Alu>AluSx1[chr16:73105469-73105763]
mh16SCUZJ-0227793	131	4.281	SINE>Alu>AluSg7[chr16:77802338-77802615]
mh16SCUZJ-0250647	345	3.863	LTR>ERVL-MaLR>MLT1B[chr16:79973025-79973398]
mh16SCUZJ-0262867	179	6.284	SINE>Alu>AluSz[chr16:81398415-81398723]
mh16SCUZJ-0296189	246	7.251	SINE>Alu>AluY[chr16:84946477-84946788];LINE>L1>L1MC4[chr16:84946788-84947135]
mh16SCUZJ-0328951.v2	344	1.365	SINE>Alu>AluJo[chr16:89648744-89649050]
mh16SHY-001	188	3.328	SINE>Alu>AluSg4[chr16:24831368-24831675]
mh16SHY-003	191	3.912	LTR>ERVL>LTR16C[chr16:86450651-86451153]
mh16WL-040.v2	335	10.179	LTR>ERV1>LTR7B[chr16:8833042-8833468]
mh16WL-049	94	3.474	LTR>ERVL>LTR52[chr16:59849600-59849646]
mh16ZHA-003	419	2.316	SINE>Alu>AluJb[chr16:12624500-12624807]
mh16ZHA-004	313	3.19	SINE>Alu>AluY[chr16:12629940-12630243]
mh17CP-005	45	3.385	SINE>Alu>AluSq[chr17:19715693-19716006]
mh17CP-006	50	3.089	LINE>L1>L1ME1[chr17:15385561-15385951]
mh17LW-44	69	1.79	LTR>ERVK>LTR13[chr17:43323117-43324160]
mh17SCUZJ-0003983	172	3.923	LINE>L2>L2c[chr17:602038-602389]
mh17SCUZJ-0013421	277	2.603	SINE>Alu>AluSz[chr17:1789481-1789779]
mh17SCUZJ-0017214.v1	286	8.689	SINE>Alu>AluSg[chr17:2831923-2832228];SINE>Alu>AluY[chr17:2832276-2832583]
mh17SCUZJ-0017214.v2	324	7.626	SINE>Alu>AluY[chr17:2832276-2832583]
mh17SCUZJ-0025813	325	7.711	SINE>Alu>AluSc[chr17:4481878-4482185]
mh17SCUZJ-0044896	260	5.287	SINE>Alu>AluJo[chr17:9812619-9812902];LTR>ERVL-MaLR>MLT1A0[chr17:9812902-9813115]
mh17SCUZJ-0068277	203	4.921	LINE>L1>L1MC1[chr17:14311387-14311692]
mh17SCUZJ-0069199	345	3.41	SINE>Alu>AluJo[chr17:14439688-14439970]
mh17SCUZJ-0114315	240	3.502	LINE>L1>L1MA5A[chr17:39119312-39119454];SINE>Alu>AluJb[chr17:39119465-39119752]
mh17SCUZJ-0115879	338	3.186	SINE>Alu>AluJr[chr17:40492625-40492754];SINE>Alu>AluSx1[chr17:40492754-40492978]
mh17SCUZJ-0133238	343	7.344	LINE>L1>L1MA5A[chr17:49134212-49134420]
mh17SCUZJ-0137941.v1	152	2.619	SINE>Alu>AluSx3[chr17:51371269-51371569]
mh17SCUZJ-0137941.v2	314	3.717	SINE>Alu>AluSx3[chr17:51371269-51371569]
mh17SCUZJ-0176838	234	4.098	SINE>Alu>AluY[chr17:68718152-68718452]
mh17SCUZJ-0199582	274	9.221	SINE>Alu>AluY[chr17:75576981-75577287]
mh17SCUZJ-0200979	91	5.716	SINE>Alu>AluY[chr17:76129048-76129349]
mh17SCUZJ-0222289	350	4.073	LINE>L1>L1MD2[chr17:79872698-79873308]
mh17SCUZJ-0233057	278	3.465	SINE>Alu>AluY[chr17:82432781-82433091];SINE>Alu>AluJb[chr17:82433129-82433161]
mh17ZHA-001	120	2.933	SINE>Alu>AluJb[chr17:390045-390368]
mh18CP-003	39	3.119	LINE>L1>L1M5[chr18:25488362-25488558]
mh18CP-005	44	3.656	LINE>L1>L1ME4b[chr18:8892822-8893188]
mh18FHL-004.v1	186	6.846	SINE>Alu>AluSg[chr18:68512496-68512805]
mh18FHL-004.v2	293	11.199	SINE>Alu>AluSg[chr18:68512496-68512805]
mh18LW-47	59	4.409	SINE>Alu>AluSc8[chr18:64881229-64881521]
mh18PK-87558	47	2.353	LINE>L1>L1PA15[chr18:1960576-1960678]
mh18SCUZJ-0002652	343	1.324	SINE>Alu>AluSx[chr18:626576-626890]
mh18SCUZJ-0003488	206	3.897	SINE>Alu>AluY[chr18:722810-723111]
mh18SCUZJ-0015713	269	5.488	SINE>Alu>AluY[chr18:3197591-3197900]
mh18SCUZJ-0020879.v1	270	17.867	LINE>L1>L1HS[chr18:4477329-4478177];LINE>L1>L1ME1[chr18:4478169-4478825]
mh18SCUZJ-0020879.v2	323	3.985	LINE>L1>L1HS[chr18:4477329-4478177];LINE>L1>L1ME1[chr18:4478169-4478825]
mh18SCUZJ-0040982	295	4.431	LTR>ERV1>LTR12C[chr18:8934581-8935987]
mh18SCUZJ-0042322	305	6.543	SINE>Alu>AluSc[chr18:9555854-9555973];SINE>Alu>AluSc[chr18:9556006-9556155];LINE>L1>L1MC4[chr18:9556155-9556191]
mh18SCUZJ-0058695	220	4.783	SINE>Alu>AluY[chr18:12976683-12976990]
mh18SCUZJ-0064707.v2	317	1.69	LTR>ERVL-MaLR>MSTA[chr18:14298441-14298708]
mh18SCUZJ-0070441	317	11.355	SINE>Alu>AluJr[chr18:21906066-21906367]
mh18SCUZJ-0076547	269	4.044	LINE>L1>L1PA2[chr18:24710814-24716841]
mh18SCUZJ-0106007	214	7.986	SINE>Alu>AluSc8[chr18:37352939-37353234]
